28192   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28193   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28194   , -2317.7     , array([ 0.00102075 ,  3.76653    ,  1.03216e-06,  4.5365e-38 ])
28195   , -2317.68    , array([ 0.00101973 ,  3.7703     ,  1.03216e-06,  4.5365e-38 ])
28196   , -2317.66    , array([ 0.00101973 ,  3.76653    ,  1.03319e-06,  4.5365e-38 ])
28197   , -2317.68    , array([ 0.00101973 ,  3.76653    ,  1.03216e-06,  4.54103e-38])
28198   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28199   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28200   , -2317.5     , array([ 0.00100116 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28201   , -2317.48    , array([ 0.00100016 ,  3.7703     ,  1.02275e-06,  4.5365e-38 ])
28202   , -2317.46    , array([ 0.00100016 ,  3.76653    ,  1.02377e-06,  4.5365e-38 ])
28203   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.54103e-38])
28204   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28205   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28206   , -2317.5     , array([ 0.00100116 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28207   , -2317.48    , array([ 0.00100016 ,  3.7703     ,  1.02275e-06,  4.5365e-38 ])
28208   , -2317.46    , array([ 0.00100016 ,  3.76653    ,  1.02377e-06,  4.5365e-38 ])
28209   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.54103e-38])
28216   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28217   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28218   , -2317.5     , array([ 0.00100116 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28219   , -2317.48    , array([ 0.00100016 ,  3.7703     ,  1.02275e-06,  4.5365e-38 ])
28220   , -2317.46    , array([ 0.00100016 ,  3.76653    ,  1.02377e-06,  4.5365e-38 ])
28221   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.54103e-38])
28222   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28223   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28224   , -2317.5     , array([ 0.00100116 ,  3.76653    ,  1.02275e-06,  4.5365e-38 ])
28225   , -2317.48    , array([ 0.00100016 ,  3.7703     ,  1.02275e-06,  4.5365e-38 ])
28226   , -2317.46    , array([ 0.00100016 ,  3.76653    ,  1.02377e-06,  4.5365e-38 ])
28227   , -2317.48    , array([ 0.00100016 ,  3.76653    ,  1.02275e-06,  4.54103e-38])
28228   , -2336.21    , array([ 0.341318   ,  3.76653    ,  1.60994e-05,  4.5365e-38 ])
28229   , -2336.21    , array([ 0.341318   ,  3.76653    ,  1.60994e-05,  4.5365e-38 ])
28230   , -2336.21    , array([ 0.341659   ,  3.76653    ,  1.60994e-05,  4.5365e-38 ])
28231   , -2336.21    , array([ 0.341318   ,  3.7703     ,  1.60994e-05,  4.5365e-38 ])
28232   , -2336.21    , array([ 0.341318   ,  3.76653    ,  1.61155e-05,  4.5365e-38 ])
28233   , -2336.21    , array([ 0.341318   ,  3.76653    ,  1.60994e-05,  4.54103e-38])
