281555  , -1411.31    , array([ 1.00606    ,  0.105321   ,  5.20201    ,  2.32807e-26,  0.0433526  ])
281556  , -1411.31    , array([ 1.00606    ,  0.105321   ,  5.20201    ,  2.32807e-26,  0.0433526  ])
281557  , -1411.31    , array([ 1.00707    ,  0.105321   ,  5.20201    ,  2.32807e-26,  0.0433526  ])
281558  , -1411.31    , array([ 1.00606    ,  0.105426   ,  5.20201    ,  2.32807e-26,  0.0433526  ])
281559  , -1411.31    , array([ 1.00606    ,  0.105321   ,  5.20721    ,  2.32807e-26,  0.0433526  ])
281560  , -1411.31    , array([ 1.00606    ,  0.105321   ,  5.20201    ,  2.3304e-26 ,  0.0433526  ])
281561  , -1411.31    , array([ 1.00606    ,  0.105321   ,  5.20201    ,  2.32807e-26,  0.043396   ])
281562  , -1411.31    , array([ 1.0056     ,  0.105335   ,  5.20432    ,  2.32807e-26,  0.0433624  ])
281563  , -1411.31    , array([ 1.0056     ,  0.105335   ,  5.20432    ,  2.32807e-26,  0.0433624  ])
281564  , -1411.3     , array([ 1.0066     ,  0.105335   ,  5.20432    ,  2.32807e-26,  0.0433624  ])
281565  , -1411.3     , array([ 1.0056     ,  0.10544    ,  5.20432    ,  2.32807e-26,  0.0433624  ])
281566  , -1411.31    , array([ 1.0056     ,  0.105335   ,  5.20952    ,  2.32807e-26,  0.0433624  ])
281567  , -1411.31    , array([ 1.0056     ,  0.105335   ,  5.20432    ,  2.3304e-26 ,  0.0433624  ])
281568  , -1411.31    , array([ 1.0056     ,  0.105335   ,  5.20432    ,  2.32807e-26,  0.0434058  ])
281569  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281570  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281571  , -1411.3     , array([ 1.0066     ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281572  , -1411.3     , array([ 1.00559    ,  0.10544    ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281573  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20955    ,  2.32807e-26,  0.0433625  ])
281574  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.3304e-26 ,  0.0433625  ])
281575  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0434059  ])
281576  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281577  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281578  , -1411.3     , array([ 1.0066     ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281579  , -1411.3     , array([ 1.00559    ,  0.10544    ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281580  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20955    ,  2.32807e-26,  0.0433625  ])
281581  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.3304e-26 ,  0.0433625  ])
281582  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0434059  ])
281583  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281584  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281585  , -1411.3     , array([ 1.0066     ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281586  , -1411.3     , array([ 1.00559    ,  0.10544    ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281587  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20955    ,  2.32807e-26,  0.0433625  ])
281588  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.3304e-26 ,  0.0433625  ])
281589  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0434059  ])
281590  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281591  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281592  , -1411.3     , array([ 1.0066     ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281593  , -1411.3     , array([ 1.00559    ,  0.10544    ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281594  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20955    ,  2.32807e-26,  0.0433625  ])
281595  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.3304e-26 ,  0.0433625  ])
281596  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0434059  ])
281597  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281598  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281599  , -1411.3     , array([ 1.0066     ,  0.105335   ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281600  , -1411.3     , array([ 1.00559    ,  0.10544    ,  5.20434    ,  2.32807e-26,  0.0433625  ])
281601  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20955    ,  2.32807e-26,  0.0433625  ])
281602  , -1411.31    , array([ 1.00559    ,  0.105335   ,  5.20434    ,  2.3304e-26 ,  0.0433625  ])
