48209   , -1985.64    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.011678   ])
48210   , -1985.64    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.374365   ,  0.011678   ])
48211   , -1985.64    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.011678   ])
48212   , -82154.3    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  1.01168    ])
48214   , -1985.64    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.011678   ])
48216   , -85371.4    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.393644   ])
48217   , -85467.6    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.201987   ])
48220   , -53576.6    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0843696  ])
48222   , -21285.7    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0394437  ])
48224   , -7128.92    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0222835  ])
48225   , -6691.22    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.00665296 ])
48226   , -2344.5     , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0143143  ])
48227   , -1978.28    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.01251    ])
48228   , -1965.45    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.012149   ])
48229   , -1965.43    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121409  ])
48230   , -1965.43    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48231   , -1965.43    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121293  ])
48233   , -1965.43    , array([ 0.443754   ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48234   , -1904.43    , array([ 1.44375    ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
48235   , -1995.55    , array([ 3.06179    ,  0.0333526  ,  3.881      ,  0.378146   ,  0.0121338  ])
