183407  , -1.13715e+06, array([ 0.00218243 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183408  , -1.13811e+06, array([ 0.00218025 ,  89.2775    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183409  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.48685e-59,  1.87845e-08,  0.054048   ])
183410  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.88033e-08,  0.054048   ])
183411  , -1.13905e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054102   ])
183419  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183420  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183421  , -1.13715e+06, array([ 0.00218243 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183422  , -1.13811e+06, array([ 0.00218025 ,  89.2776    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183423  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.48685e-59,  1.87845e-08,  0.054048   ])
183424  , -1.13811e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.88033e-08,  0.054048   ])
183425  , -1.13905e+06, array([ 0.00218025 ,  89.1883    ,  9.47737e-59,  1.87845e-08,  0.054102   ])
183426  , -1.13811e+06, array([ 0.00218025 ,  89.1884    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183427  , -1.13811e+06, array([ 0.00218025 ,  89.1884    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183428  , -1.13715e+06, array([ 0.00218243 ,  89.1884    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183429  , -1.13811e+06, array([ 0.00218025 ,  89.2776    ,  9.47737e-59,  1.87845e-08,  0.054048   ])
183430  , -1.13811e+06, array([ 0.00218025 ,  89.1884    ,  9.48685e-59,  1.87845e-08,  0.054048   ])
183431  , -1.13811e+06, array([ 0.00218025 ,  89.1884    ,  9.47737e-59,  1.88033e-08,  0.054048   ])
