661     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
662     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
663     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
670     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
671     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
672     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
673     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
674     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
675     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
682     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
683     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
684     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
685     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
686     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
687     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
694     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
695     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
696     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
697     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
698     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
699     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
700     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
701     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
702     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
703     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
704     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
705     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
708     , -24298.4    , array([ 0.00100021 ,  31.362     ,  0.00128189 ,  0.0749937  ])
712     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
713     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
714     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
715     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
716     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
717     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
718     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
719     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
720     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
721     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
722     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
723     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
726     , -24298.6    , array([ 0.00100087 ,  31.3556    ,  0.00128256 ,  0.0750106  ])
730     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
731     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
732     , -24298.8    , array([ 0.00100153 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
733     , -24298.7    , array([ 0.00100053 ,  31.3805    ,  0.00128322 ,  0.0750276  ])
734     , -24298.6    , array([ 0.00100053 ,  31.3492    ,  0.00128451 ,  0.0750276  ])
735     , -24299.5    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0751026  ])
736     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
737     , -24298.7    , array([ 0.00100053 ,  31.3492    ,  0.00128322 ,  0.0750276  ])
