112598  , -1634.39    , array([ 1.57428    ,  0.0679858  ,  6.68111e-06,  0.00080931 ,  0.0243917  ])
112599  , -1632.76    , array([ 1.38765    ,  0.0680387  ,  6.68563e-06,  0.000857241,  0.024362   ])
112600  , -1632.76    , array([ 1.38765    ,  0.0680387  ,  6.68563e-06,  0.000857241,  0.024362   ])
112601  , -1632.73    , array([ 1.38904    ,  0.0680387  ,  6.68563e-06,  0.000857241,  0.024362   ])
112602  , -1632.75    , array([ 1.38765    ,  0.0681068  ,  6.68563e-06,  0.000857241,  0.024362   ])
112603  , -1632.76    , array([ 1.38765    ,  0.0680387  ,  6.69232e-06,  0.000857241,  0.024362   ])
112604  , -1632.76    , array([ 1.38765    ,  0.0680387  ,  6.68563e-06,  0.000858099,  0.024362   ])
112605  , -1632.78    , array([ 1.38765    ,  0.0680387  ,  6.68563e-06,  0.000857241,  0.0243864  ])
112606  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112607  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112608  , -1632.48    , array([ 1.44496    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112609  , -1632.48    , array([ 1.44351    ,  0.0677792  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112610  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.69312e-06,  0.000868666,  0.0242508  ])
112611  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000869535,  0.0242508  ])
112612  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.024275   ])
112613  , -1632.49    , array([ 1.4372     ,  0.067674   ,  6.68874e-06,  0.00089881 ,  0.0242362  ])
112614  , -1632.49    , array([ 1.4372     ,  0.067674   ,  6.68874e-06,  0.00089881 ,  0.0242362  ])
112615  , -1632.49    , array([ 1.43864    ,  0.067674   ,  6.68874e-06,  0.00089881 ,  0.0242362  ])
112616  , -1632.49    , array([ 1.4372     ,  0.0677417  ,  6.68874e-06,  0.00089881 ,  0.0242362  ])
112617  , -1632.49    , array([ 1.4372     ,  0.067674   ,  6.69543e-06,  0.00089881 ,  0.0242362  ])
112618  , -1632.49    , array([ 1.4372     ,  0.067674   ,  6.68874e-06,  0.000899709,  0.0242362  ])
112619  , -1632.49    , array([ 1.4372     ,  0.067674   ,  6.68874e-06,  0.00089881 ,  0.0242604  ])
112620  , -1632.48    , array([ 1.44281    ,  0.0677073  ,  6.68669e-06,  0.00087196 ,  0.0242492  ])
112621  , -1632.48    , array([ 1.44281    ,  0.0677073  ,  6.68669e-06,  0.00087196 ,  0.0242492  ])
112622  , -1632.48    , array([ 1.44425    ,  0.0677073  ,  6.68669e-06,  0.00087196 ,  0.0242492  ])
112623  , -1632.48    , array([ 1.44281    ,  0.067775   ,  6.68669e-06,  0.00087196 ,  0.0242492  ])
112624  , -1632.48    , array([ 1.44281    ,  0.0677073  ,  6.69338e-06,  0.00087196 ,  0.0242492  ])
112625  , -1632.48    , array([ 1.44281    ,  0.0677073  ,  6.68669e-06,  0.000872832,  0.0242492  ])
112626  , -1632.48    , array([ 1.44281    ,  0.0677073  ,  6.68669e-06,  0.00087196 ,  0.0242734  ])
112627  , -1632.48    , array([ 1.44343    ,  0.0677109  ,  6.68646e-06,  0.000869067,  0.0242506  ])
112628  , -1632.48    , array([ 1.44343    ,  0.0677109  ,  6.68646e-06,  0.000869067,  0.0242506  ])
112629  , -1632.48    , array([ 1.44487    ,  0.0677109  ,  6.68646e-06,  0.000869067,  0.0242506  ])
112630  , -1632.48    , array([ 1.44343    ,  0.0677787  ,  6.68646e-06,  0.000869067,  0.0242506  ])
