21782   , -4894.87    , array([ 19.7219    ,  99.9967    ,  7.43939e-25,  0.0790112  ])
21783   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.44683e-25,  0.0790112  ])
21784   , -4897.92    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790903  ])
21791   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21792   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21793   , -4894.82    , array([ 19.7416    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21794   , -4894.87    , array([ 19.7219    ,  99.9967    ,  7.43939e-25,  0.0790112  ])
21795   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.44683e-25,  0.0790112  ])
21796   , -4897.92    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790903  ])
21803   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21804   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21805   , -4894.82    , array([ 19.7416    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21806   , -4894.87    , array([ 19.7219    ,  99.9967    ,  7.43939e-25,  0.0790112  ])
21807   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.44683e-25,  0.0790112  ])
21808   , -4897.92    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790903  ])
21815   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21816   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21817   , -4894.82    , array([ 19.7416    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21818   , -4894.87    , array([ 19.7219    ,  99.9967    ,  7.43939e-25,  0.0790112  ])
21819   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.44683e-25,  0.0790112  ])
21820   , -4897.92    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790903  ])
21821   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21822   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21823   , -4894.82    , array([ 19.7416    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21824   , -4894.87    , array([ 19.7219    ,  99.9967    ,  7.43939e-25,  0.0790112  ])
21825   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.44683e-25,  0.0790112  ])
21826   , -4897.92    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790903  ])
21833   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21834   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21835   , -4894.82    , array([ 19.7416    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21836   , -4894.87    , array([ 19.7219    ,  99.9967    ,  7.43939e-25,  0.0790112  ])
21837   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.44683e-25,  0.0790112  ])
21838   , -4897.92    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790903  ])
21839   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21840   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21841   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21843   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21844   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21845   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21846   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21847   , -4894.82    , array([ 19.7416    ,  99.8968    ,  7.43939e-25,  0.0790112  ])
21848   , -4894.87    , array([ 19.7219    ,  99.9967    ,  7.43939e-25,  0.0790112  ])
21849   , -4894.82    , array([ 19.7219    ,  99.8968    ,  7.44683e-25,  0.0790112  ])
21850   , -4897.92    , array([ 19.7219    ,  99.8968    ,  7.43939e-25,  0.0790903  ])
21851   , -4893.28    , array([ 19.7219    ,  99.9635    ,  7.43939e-25,  0.0789711  ])
21852   , -4893.28    , array([ 19.7219    ,  99.9635    ,  7.43939e-25,  0.0789711  ])
21853   , -4893.28    , array([ 19.7416    ,  99.9635    ,  7.43939e-25,  0.0789711  ])
21855   , -4893.28    , array([ 19.7219    ,  99.9635    ,  7.44683e-25,  0.0789711  ])
21856   , -4896.38    , array([ 19.7219    ,  99.9635    ,  7.43939e-25,  0.0790501  ])
21857   , -4892.68    , array([ 19.7219    ,  99.9898    ,  7.43939e-25,  0.0789553  ])
21858   , -4892.68    , array([ 19.7219    ,  99.9898    ,  7.43939e-25,  0.0789553  ])
21859   , -4892.68    , array([ 19.7416    ,  99.9898    ,  7.43939e-25,  0.0789553  ])
21861   , -4892.68    , array([ 19.7219    ,  99.9898    ,  7.44683e-25,  0.0789553  ])
21862   , -4895.77    , array([ 19.7219    ,  99.9898    ,  7.43939e-25,  0.0790343  ])
21863   , -4892.55    , array([ 19.7219    ,  99.9954    ,  7.43939e-25,  0.078952   ])
21864   , -4892.55    , array([ 19.7219    ,  99.9954    ,  7.43939e-25,  0.078952   ])
21865   , -4892.55    , array([ 19.7416    ,  99.9954    ,  7.43939e-25,  0.078952   ])
21867   , -4892.55    , array([ 19.7219    ,  99.9954    ,  7.44683e-25,  0.078952   ])
21868   , -4895.64    , array([ 19.7219    ,  99.9954    ,  7.43939e-25,  0.079031   ])
21869   , -4892.52    , array([ 19.7219    ,  99.9965    ,  7.43939e-25,  0.0789513  ])
21870   , -4892.52    , array([ 19.7219    ,  99.9965    ,  7.43939e-25,  0.0789513  ])
