159703  , -1921.76    , array([ 99.9744    ,  0.0553543  ,  2.64045e-65,  3.90864e-09,  0.0199783  ])
159705  , -1921.76    , array([ 99.9744    ,  0.0554097  ,  2.64045e-65,  3.90864e-09,  0.0199783  ])
159706  , -1921.76    , array([ 99.9744    ,  0.0553543  ,  2.64309e-65,  3.90864e-09,  0.0199783  ])
159707  , -1921.76    , array([ 99.9744    ,  0.0553543  ,  2.64045e-65,  3.91255e-09,  0.0199783  ])
159708  , -1921.82    , array([ 99.9744    ,  0.0553543  ,  2.64045e-65,  3.90864e-09,  0.0199983  ])
159709  , -1921.75    , array([ 99.9884    ,  0.055349   ,  2.64045e-65,  3.90825e-09,  0.0199763  ])
159710  , -1921.75    , array([ 99.9884    ,  0.055349   ,  2.64045e-65,  3.90825e-09,  0.0199763  ])
159712  , -1921.76    , array([ 99.9884    ,  0.0554043  ,  2.64045e-65,  3.90825e-09,  0.0199763  ])
159713  , -1921.75    , array([ 99.9884    ,  0.055349   ,  2.64309e-65,  3.90825e-09,  0.0199763  ])
159714  , -1921.75    , array([ 99.9884    ,  0.055349   ,  2.64045e-65,  3.91216e-09,  0.0199763  ])
159715  , -1921.81    , array([ 99.9884    ,  0.055349   ,  2.64045e-65,  3.90825e-09,  0.0199963  ])
159716  , -1921.75    , array([ 99.9914    ,  0.0553478  ,  2.64045e-65,  3.90816e-09,  0.0199759  ])
159717  , -1921.75    , array([ 99.9914    ,  0.0553478  ,  2.64045e-65,  3.90816e-09,  0.0199759  ])
159719  , -1921.76    , array([ 99.9914    ,  0.0554032  ,  2.64045e-65,  3.90816e-09,  0.0199759  ])
159720  , -1921.75    , array([ 99.9914    ,  0.0553478  ,  2.64309e-65,  3.90816e-09,  0.0199759  ])
159721  , -1921.75    , array([ 99.9914    ,  0.0553478  ,  2.64045e-65,  3.91207e-09,  0.0199759  ])
159722  , -1921.81    , array([ 99.9914    ,  0.0553478  ,  2.64045e-65,  3.90816e-09,  0.0199959  ])
159723  , -1921.75    , array([ 99.992     ,  0.0553476  ,  2.64045e-65,  3.90815e-09,  0.0199758  ])
159724  , -1921.75    , array([ 99.992     ,  0.0553476  ,  2.64045e-65,  3.90815e-09,  0.0199758  ])
159726  , -1921.76    , array([ 99.992     ,  0.055403   ,  2.64045e-65,  3.90815e-09,  0.0199758  ])
159727  , -1921.75    , array([ 99.992     ,  0.0553476  ,  2.64309e-65,  3.90815e-09,  0.0199758  ])
159728  , -1921.75    , array([ 99.992     ,  0.0553476  ,  2.64045e-65,  3.91206e-09,  0.0199758  ])
159729  , -1921.81    , array([ 99.992     ,  0.0553476  ,  2.64045e-65,  3.90815e-09,  0.0199958  ])
159730  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.90814e-09,  0.0199758  ])
159731  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.90814e-09,  0.0199758  ])
159733  , -1921.76    , array([ 99.9922    ,  0.0554029  ,  2.64045e-65,  3.90814e-09,  0.0199758  ])
159734  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64309e-65,  3.90814e-09,  0.0199758  ])
159735  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.91205e-09,  0.0199758  ])
159736  , -1921.81    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.90814e-09,  0.0199958  ])
159737  , -1921.75    , array([ 99.9922    ,  0.0553475  ,  2.64045e-65,  3.90814e-09,  0.0199758  ])
