34011   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34012   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34013   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34014   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34015   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34016   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34017   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34018   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34019   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34020   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34021   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34022   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34023   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34024   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34025   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34026   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34027   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34028   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34029   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34030   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34031   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34032   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34033   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34034   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34035   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34036   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34037   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34038   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34039   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34040   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34041   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34042   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34043   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34044   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34045   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34046   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34047   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34048   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34049   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34050   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34051   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34052   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34053   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34054   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34055   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34056   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34057   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34058   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34059   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34060   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34061   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34062   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34063   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34064   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34065   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34066   , -394.247    , array([ 0.161494   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34067   , -394.263    , array([ 0.161332   ,  0.040659   ,  0.32197    ,  0.0866456  ])
34068   , -394.293    , array([ 0.161332   ,  0.0406184  ,  0.322292   ,  0.0866456  ])
34069   , -394.309    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0867323  ])
34070   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
34071   , -394.274    , array([ 0.161332   ,  0.0406184  ,  0.32197    ,  0.0866456  ])
