199456  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199457  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199458  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199459  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199460  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199461  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199462  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199463  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199464  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199465  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199466  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199467  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199468  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199469  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199470  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199471  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199472  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199473  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199474  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199475  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199476  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199477  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199478  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199479  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199480  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199481  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199482  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199483  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199484  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199485  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199486  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199487  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199488  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199489  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199490  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199491  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199492  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199493  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199494  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199495  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199496  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199497  , -1632.53    , array([ 1.43851    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199498  , -1632.53    , array([ 1.43707    ,  0.0677333  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
199499  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.37339e-05,  1.61631e-12,  0.0242319  ])
199500  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61792e-12,  0.0242319  ])
199501  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242561  ])
199502  , -1632.53    , array([ 1.43707    ,  0.0676656  ,  6.36702e-05,  1.61631e-12,  0.0242319  ])
