58380   , -1632.12    , array([ 1.45173    ,  0.0687559  ,  0.00152695 ,  3.11675e-31,  0.0246388  ])
58381   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152848 ,  3.11675e-31,  0.0246388  ])
58382   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152695 ,  3.11987e-31,  0.0246388  ])
58383   , -1632.21    , array([ 1.45173    ,  0.0686872  ,  0.00152695 ,  3.11675e-31,  0.0246634  ])
58384   , -1632.16    , array([ 1.45159    ,  0.068678   ,  0.00152854 ,  3.11675e-31,  0.0246352  ])
58385   , -1632.16    , array([ 1.45159    ,  0.068678   ,  0.00152854 ,  3.11675e-31,  0.0246352  ])
58386   , -1632.16    , array([ 1.45304    ,  0.068678   ,  0.00152854 ,  3.11675e-31,  0.0246352  ])
58387   , -1632.12    , array([ 1.45159    ,  0.0687467  ,  0.00152854 ,  3.11675e-31,  0.0246352  ])
58388   , -1632.16    , array([ 1.45159    ,  0.068678   ,  0.00153007 ,  3.11675e-31,  0.0246352  ])
58389   , -1632.16    , array([ 1.45159    ,  0.068678   ,  0.00152854 ,  3.11987e-31,  0.0246352  ])
58390   , -1632.21    , array([ 1.45159    ,  0.068678   ,  0.00152854 ,  3.11675e-31,  0.0246598  ])
58391   , -1632.16    , array([ 1.45171    ,  0.0686858  ,  0.0015272  ,  3.11675e-31,  0.0246382  ])
58392   , -1632.16    , array([ 1.45171    ,  0.0686858  ,  0.0015272  ,  3.11675e-31,  0.0246382  ])
58393   , -1632.16    , array([ 1.45316    ,  0.0686858  ,  0.0015272  ,  3.11675e-31,  0.0246382  ])
58394   , -1632.12    , array([ 1.45171    ,  0.0687545  ,  0.0015272  ,  3.11675e-31,  0.0246382  ])
58395   , -1632.16    , array([ 1.45171    ,  0.0686858  ,  0.00152873 ,  3.11675e-31,  0.0246382  ])
58396   , -1632.16    , array([ 1.45171    ,  0.0686858  ,  0.0015272  ,  3.11987e-31,  0.0246382  ])
58397   , -1632.21    , array([ 1.45171    ,  0.0686858  ,  0.0015272  ,  3.11675e-31,  0.0246629  ])
58398   , -1632.16    , array([ 1.45173    ,  0.068687   ,  0.00152699 ,  3.11675e-31,  0.0246387  ])
58399   , -1632.16    , array([ 1.45173    ,  0.068687   ,  0.00152699 ,  3.11675e-31,  0.0246387  ])
58400   , -1632.16    , array([ 1.45318    ,  0.068687   ,  0.00152699 ,  3.11675e-31,  0.0246387  ])
58401   , -1632.12    , array([ 1.45173    ,  0.0687557  ,  0.00152699 ,  3.11675e-31,  0.0246387  ])
58402   , -1632.16    , array([ 1.45173    ,  0.068687   ,  0.00152852 ,  3.11675e-31,  0.0246387  ])
58403   , -1632.16    , array([ 1.45173    ,  0.068687   ,  0.00152699 ,  3.11987e-31,  0.0246387  ])
58404   , -1632.21    , array([ 1.45173    ,  0.068687   ,  0.00152699 ,  3.11675e-31,  0.0246633  ])
58405   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246387  ])
58406   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246387  ])
58407   , -1632.16    , array([ 1.45318    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246387  ])
58408   , -1632.12    , array([ 1.45173    ,  0.0687559  ,  0.00152696 ,  3.11675e-31,  0.0246387  ])
58409   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152849 ,  3.11675e-31,  0.0246387  ])
58410   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11987e-31,  0.0246387  ])
58411   , -1632.21    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246634  ])
58412   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246388  ])
58413   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246388  ])
58414   , -1632.16    , array([ 1.45318    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246388  ])
58415   , -1632.12    , array([ 1.45173    ,  0.0687559  ,  0.00152696 ,  3.11675e-31,  0.0246388  ])
58416   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152848 ,  3.11675e-31,  0.0246388  ])
58417   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11987e-31,  0.0246388  ])
58418   , -1632.21    , array([ 1.45173    ,  0.0686872  ,  0.00152696 ,  3.11675e-31,  0.0246634  ])
58419   , -1632.16    , array([ 1.45173    ,  0.0686872  ,  0.00152695 ,  3.11675e-31,  0.0246388  ])
