157900  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157901  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157902  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157903  , -3631.43    , array([ 0.0403862  ,  0.00577819 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157904  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157905  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157906  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
157907  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157908  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157909  , -3626.87    , array([ 0.0404266  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157910  , -3631.43    , array([ 0.0403862  ,  0.00577819 ,  1.20465e-20,  2.26894e-39,  0.00184078 ])
157911  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20585e-20,  2.26894e-39,  0.00184078 ])
157912  , -3629.37    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.27121e-39,  0.00184078 ])
157913  , -3629.67    , array([ 0.0403862  ,  0.00577242 ,  1.20465e-20,  2.26894e-39,  0.00184262 ])
157914  , -472312     , array([ 0.0171117  ,  0.00144983 ,  1.20465e-20,  2.26894e-39,  0.0176086  ])
157915  , -472312     , array([ 0.0171117  ,  0.00144983 ,  1.20465e-20,  2.26894e-39,  0.0176086  ])
157916  , -472257     , array([ 0.0171288  ,  0.00144983 ,  1.20465e-20,  2.26894e-39,  0.0176086  ])
157917  , -471886     , array([ 0.0171117  ,  0.00145128 ,  1.20465e-20,  2.26894e-39,  0.0176086  ])
157918  , -472312     , array([ 0.0171117  ,  0.00144983 ,  1.20585e-20,  2.26894e-39,  0.0176086  ])
157919  , -472312     , array([ 0.0171117  ,  0.00144983 ,  1.20465e-20,  2.27121e-39,  0.0176086  ])
157920  , -472784     , array([ 0.0171117  ,  0.00144983 ,  1.20465e-20,  2.26894e-39,  0.0176262  ])
157921  , -7159.54    , array([ 0.0361502  ,  0.00482984 ,  1.20465e-20,  2.26894e-39,  0.00246347 ])
157922  , -7159.54    , array([ 0.0361502  ,  0.00482984 ,  1.20465e-20,  2.26894e-39,  0.00246347 ])
157923  , -7155.21    , array([ 0.0361864  ,  0.00482984 ,  1.20465e-20,  2.26894e-39,  0.00246347 ])
157924  , -7147.68    , array([ 0.0361502  ,  0.00483467 ,  1.20465e-20,  2.26894e-39,  0.00246347 ])
157925  , -7159.54    , array([ 0.0361502  ,  0.00482984 ,  1.20585e-20,  2.26894e-39,  0.00246347 ])
157926  , -7159.54    , array([ 0.0361502  ,  0.00482984 ,  1.20465e-20,  2.27121e-39,  0.00246347 ])
157927  , -7175.43    , array([ 0.0361502  ,  0.00482984 ,  1.20465e-20,  2.26894e-39,  0.00246593 ])
157928  , -3629.37    , array([ 0.0403858  ,  0.00577233 ,  1.20465e-20,  2.26894e-39,  0.00184082 ])
157929  , -3629.37    , array([ 0.0403858  ,  0.00577233 ,  1.20465e-20,  2.26894e-39,  0.00184082 ])
157930  , -3626.87    , array([ 0.0404262  ,  0.00577233 ,  1.20465e-20,  2.26894e-39,  0.00184082 ])
157931  , -3631.42    , array([ 0.0403858  ,  0.0057781  ,  1.20465e-20,  2.26894e-39,  0.00184082 ])
157932  , -3629.37    , array([ 0.0403858  ,  0.00577233 ,  1.20585e-20,  2.26894e-39,  0.00184082 ])
157933  , -3629.37    , array([ 0.0403858  ,  0.00577233 ,  1.20465e-20,  2.27121e-39,  0.00184082 ])
157934  , -3629.67    , array([ 0.0403858  ,  0.00577233 ,  1.20465e-20,  2.26894e-39,  0.00184267 ])
157935  , -3629.37    , array([ 0.0403858  ,  0.00577233 ,  1.20465e-20,  2.26894e-39,  0.00184082 ])
