25488   , -4619.56    , array([ 0.380743   ,  0.102348   ,  5.91792e-32,  0.121667   ,  0.0343881  ])
25489   , -4619.55    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121789   ,  0.0343881  ])
25490   , -4622.95    , array([ 0.380743   ,  0.102348   ,  5.91201e-32,  0.121667   ,  0.0344225  ])
25491   , -4453.21    , array([ 0.417584   ,  0.0993942  ,  5.91201e-32,  4.05435    ,  0.0339805  ])
25492   , -4453.21    , array([ 0.417584   ,  0.0993942  ,  5.91201e-32,  4.05435    ,  0.0339805  ])
25493   , -4448.44    , array([ 0.418002   ,  0.0993942  ,  5.91201e-32,  4.05435    ,  0.0339805  ])
25494   , -4459.36    , array([ 0.417584   ,  0.0994936  ,  5.91201e-32,  4.05435    ,  0.0339805  ])
25495   , -4453.21    , array([ 0.417584   ,  0.0993942  ,  5.91792e-32,  4.05435    ,  0.0339805  ])
25496   , -4454.21    , array([ 0.417584   ,  0.0993942  ,  5.91201e-32,  4.0584     ,  0.0339805  ])
25497   , -4452.02    , array([ 0.417584   ,  0.0993942  ,  5.91201e-32,  4.05435    ,  0.0340145  ])
25498   , -4488.05    , array([ 0.38753    ,  0.101776   ,  5.91201e-32,  0.237937   ,  0.0343097  ])
25499   , -4488.05    , array([ 0.38753    ,  0.101776   ,  5.91201e-32,  0.237937   ,  0.0343097  ])
25500   , -4482.15    , array([ 0.387918   ,  0.101776   ,  5.91201e-32,  0.237937   ,  0.0343097  ])
25501   , -4490.06    , array([ 0.38753    ,  0.101878   ,  5.91201e-32,  0.237937   ,  0.0343097  ])
25502   , -4488.05    , array([ 0.38753    ,  0.101776   ,  5.91792e-32,  0.237937   ,  0.0343097  ])
25503   , -4488.03    , array([ 0.38753    ,  0.101776   ,  5.91201e-32,  0.238175   ,  0.0343097  ])
25504   , -4491.16    , array([ 0.38753    ,  0.101776   ,  5.91201e-32,  0.237937   ,  0.0343441  ])
25505   , -4187.42    , array([ 0.406407   ,  0.100253   ,  5.91201e-32,  1.44752    ,  0.0340997  ])
25506   , -4187.42    , array([ 0.406407   ,  0.100253   ,  5.91201e-32,  1.44752    ,  0.0340997  ])
25507   , -4182.17    , array([ 0.406814   ,  0.100253   ,  5.91201e-32,  1.44752    ,  0.0340997  ])
25508   , -4190.82    , array([ 0.406407   ,  0.100353   ,  5.91201e-32,  1.44752    ,  0.0340997  ])
25509   , -4187.42    , array([ 0.406407   ,  0.100253   ,  5.91792e-32,  1.44752    ,  0.0340997  ])
25510   , -4187.53    , array([ 0.406407   ,  0.100253   ,  5.91201e-32,  1.44897    ,  0.0340997  ])
25511   , -4188.63    , array([ 0.406407   ,  0.100253   ,  5.91201e-32,  1.44752    ,  0.0341338  ])
25512   , -3462.47    , array([ 0.46328    ,  0.0974149  ,  5.91201e-32,  0.701355   ,  0.0338252  ])
25513   , -3462.47    , array([ 0.46328    ,  0.0974149  ,  5.91201e-32,  0.701355   ,  0.0338252  ])
25514   , -3458.3     , array([ 0.463743   ,  0.0974149  ,  5.91201e-32,  0.701355   ,  0.0338252  ])
25515   , -3464.31    , array([ 0.46328    ,  0.0975124  ,  5.91201e-32,  0.701355   ,  0.0338252  ])
25516   , -3462.47    , array([ 0.46328    ,  0.0974149  ,  5.91792e-32,  0.701355   ,  0.0338252  ])
25517   , -3462.46    , array([ 0.46328    ,  0.0974149  ,  5.91201e-32,  0.702057   ,  0.0338252  ])
25518   , -3464.24    , array([ 0.46328    ,  0.0974149  ,  5.91201e-32,  0.701355   ,  0.033859   ])
25519   , -2652.78    , array([ 0.632235   ,  0.0892217  ,  5.91201e-32,  4.60884    ,  0.0340613  ])
25520   , -2652.78    , array([ 0.632235   ,  0.0892217  ,  5.91201e-32,  4.60884    ,  0.0340613  ])
25521   , -2650.73    , array([ 0.632868   ,  0.0892217  ,  5.91201e-32,  4.60884    ,  0.0340613  ])
25522   , -2657.02    , array([ 0.632235   ,  0.089311   ,  5.91201e-32,  4.60884    ,  0.0340613  ])
25523   , -2652.78    , array([ 0.632235   ,  0.0892217  ,  5.91792e-32,  4.60884    ,  0.0340613  ])
25524   , -2653.64    , array([ 0.632235   ,  0.0892217  ,  5.91201e-32,  4.61346    ,  0.0340613  ])
25525   , -2651.16    , array([ 0.632235   ,  0.0892217  ,  5.91201e-32,  4.60884    ,  0.0340954  ])
25526   , -1841.48    , array([ 0.833331   ,  0.0808937  ,  5.91201e-32,  1.85485    ,  0.031488   ])
25527   , -1841.48    , array([ 0.833331   ,  0.0808937  ,  5.91201e-32,  1.85485    ,  0.031488   ])
25528   , -1840.5     , array([ 0.834165   ,  0.0808937  ,  5.91201e-32,  1.85485    ,  0.031488   ])
25529   , -1841.71    , array([ 0.833331   ,  0.0809746  ,  5.91201e-32,  1.85485    ,  0.031488   ])
25530   , -1841.48    , array([ 0.833331   ,  0.0808937  ,  5.91792e-32,  1.85485    ,  0.031488   ])
25531   , -1841.43    , array([ 0.833331   ,  0.0808937  ,  5.91201e-32,  1.85671    ,  0.031488   ])
25532   , -1842.11    , array([ 0.833331   ,  0.0808937  ,  5.91201e-32,  1.85485    ,  0.0315195  ])
25533   , -1659.24    , array([ 1.00667    ,  0.0722962  ,  5.91201e-32,  2.26528    ,  0.029176   ])
25534   , -1659.24    , array([ 1.00667    ,  0.0722962  ,  5.91201e-32,  2.26528    ,  0.029176   ])
25535   , -1658.79    , array([ 1.00768    ,  0.0722962  ,  5.91201e-32,  2.26528    ,  0.029176   ])
25536   , -1658.78    , array([ 1.00667    ,  0.0723685  ,  5.91201e-32,  2.26528    ,  0.029176   ])
25537   , -1659.24    , array([ 1.00667    ,  0.0722962  ,  5.91792e-32,  2.26528    ,  0.029176   ])
25538   , -1659.15    , array([ 1.00667    ,  0.0722962  ,  5.91201e-32,  2.26755    ,  0.029176   ])
25539   , -1660.04    , array([ 1.00667    ,  0.0722962  ,  5.91201e-32,  2.26528    ,  0.0292052  ])
25540   , -1584.12    , array([ 1.18135    ,  0.0669554  ,  5.91201e-32,  2.84247    ,  0.0273961  ])
25541   , -1584.12    , array([ 1.18135    ,  0.0669554  ,  5.91201e-32,  2.84247    ,  0.0273961  ])
25542   , -1583.93    , array([ 1.18254    ,  0.0669554  ,  5.91201e-32,  2.84247    ,  0.0273961  ])
25543   , -1583.75    , array([ 1.18135    ,  0.0670224  ,  5.91201e-32,  2.84247    ,  0.0273961  ])
25544   , -1584.12    , array([ 1.18135    ,  0.0669554  ,  5.91792e-32,  2.84247    ,  0.0273961  ])
25545   , -1584.04    , array([ 1.18135    ,  0.0669554  ,  5.91201e-32,  2.84531    ,  0.0273961  ])
25546   , -1584.6     , array([ 1.18135    ,  0.0669554  ,  5.91201e-32,  2.84247    ,  0.0274235  ])
25547   , -1557.59    , array([ 1.33586    ,  0.0626388  ,  5.91201e-32,  3.65526    ,  0.0259036  ])
25548   , -1557.59    , array([ 1.33586    ,  0.0626388  ,  5.91201e-32,  3.65526    ,  0.0259036  ])
25549   , -1557.54    , array([ 1.33719    ,  0.0626388  ,  5.91201e-32,  3.65526    ,  0.0259036  ])
25550   , -1557.6     , array([ 1.33586    ,  0.0627014  ,  5.91201e-32,  3.65526    ,  0.0259036  ])
25551   , -1557.59    , array([ 1.33586    ,  0.0626388  ,  5.91792e-32,  3.65526    ,  0.0259036  ])
25552   , -1557.58    , array([ 1.33586    ,  0.0626388  ,  5.91201e-32,  3.65892    ,  0.0259036  ])
25553   , -1557.63    , array([ 1.33586    ,  0.0626388  ,  5.91201e-32,  3.65526    ,  0.0259295  ])
25554   , -1555.13    , array([ 1.40306    ,  0.0603127  ,  5.91201e-32,  4.11334    ,  0.0251613  ])
25555   , -1555.13    , array([ 1.40306    ,  0.0603127  ,  5.91201e-32,  4.11334    ,  0.0251613  ])
25556   , -1555.11    , array([ 1.40447    ,  0.0603127  ,  5.91201e-32,  4.11334    ,  0.0251613  ])
25557   , -1555.24    , array([ 1.40306    ,  0.0603731  ,  5.91201e-32,  4.11334    ,  0.0251613  ])
25558   , -1555.13    , array([ 1.40306    ,  0.0603127  ,  5.91792e-32,  4.11334    ,  0.0251613  ])
25559   , -1555.14    , array([ 1.40306    ,  0.0603127  ,  5.91201e-32,  4.11746    ,  0.0251613  ])
25560   , -1555.05    , array([ 1.40306    ,  0.0603127  ,  5.91201e-32,  4.11334    ,  0.0251865  ])
25561   , -1554.98    , array([ 1.42454    ,  0.0595545  ,  5.91201e-32,  4.21293    ,  0.0249534  ])
25562   , -1554.98    , array([ 1.42454    ,  0.0595545  ,  5.91201e-32,  4.21293    ,  0.0249534  ])
25563   , -1554.98    , array([ 1.42597    ,  0.0595545  ,  5.91201e-32,  4.21293    ,  0.0249534  ])
25564   , -1555.03    , array([ 1.42454    ,  0.0596141  ,  5.91201e-32,  4.21293    ,  0.0249534  ])
25565   , -1554.98    , array([ 1.42454    ,  0.0595545  ,  5.91792e-32,  4.21293    ,  0.0249534  ])
25566   , -1554.99    , array([ 1.42454    ,  0.0595545  ,  5.91201e-32,  4.21715    ,  0.0249534  ])
25567   , -1554.94    , array([ 1.42454    ,  0.0595545  ,  5.91201e-32,  4.21293    ,  0.0249783  ])
25568   , -1554.95    , array([ 1.43664    ,  0.059413   ,  5.91201e-32,  4.23739    ,  0.0249524  ])
25569   , -1554.95    , array([ 1.43664    ,  0.059413   ,  5.91201e-32,  4.23739    ,  0.0249524  ])
25570   , -1554.95    , array([ 1.43808    ,  0.059413   ,  5.91201e-32,  4.23739    ,  0.0249524  ])
25571   , -1554.96    , array([ 1.43664    ,  0.0594724  ,  5.91201e-32,  4.23739    ,  0.0249524  ])
25572   , -1554.95    , array([ 1.43664    ,  0.059413   ,  5.91792e-32,  4.23739    ,  0.0249524  ])
25573   , -1554.95    , array([ 1.43664    ,  0.059413   ,  5.91201e-32,  4.24163    ,  0.0249524  ])
25574   , -1554.94    , array([ 1.43664    ,  0.059413   ,  5.91201e-32,  4.23739    ,  0.0249774  ])
25575   , -1554.91    , array([ 1.4393     ,  0.0594711  ,  5.91201e-32,  4.24081    ,  0.0249919  ])
25576   , -1554.91    , array([ 1.4393     ,  0.0594711  ,  5.91201e-32,  4.24081    ,  0.0249919  ])
25577   , -1554.91    , array([ 1.44074    ,  0.0594711  ,  5.91201e-32,  4.24081    ,  0.0249919  ])
25578   , -1554.91    , array([ 1.4393     ,  0.0595306  ,  5.91201e-32,  4.24081    ,  0.0249919  ])
25579   , -1554.91    , array([ 1.4393     ,  0.0594711  ,  5.91792e-32,  4.24081    ,  0.0249919  ])
25580   , -1554.91    , array([ 1.4393     ,  0.0594711  ,  5.91201e-32,  4.24505    ,  0.0249919  ])
25581   , -1554.91    , array([ 1.4393     ,  0.0594711  ,  5.91201e-32,  4.24081    ,  0.0250169  ])
25582   , -1554.88    , array([ 1.43997    ,  0.0595262  ,  5.91201e-32,  4.24684    ,  0.0250288  ])
25583   , -1554.88    , array([ 1.43997    ,  0.0595262  ,  5.91201e-32,  4.24684    ,  0.0250288  ])
