51879   , -74938.9    , array([ 0.0823029  ,  10.2546    ,  2.86766e-23,  1.0101e-70 ,  0.037681   ])
51880   , -74893.7    , array([ 0.0823853  ,  10.2546    ,  2.86766e-23,  1.0101e-70 ,  0.037681   ])
51881   , -74940.1    , array([ 0.0823029  ,  10.2648    ,  2.86766e-23,  1.0101e-70 ,  0.037681   ])
51882   , -74938.9    , array([ 0.0823029  ,  10.2546    ,  2.87053e-23,  1.0101e-70 ,  0.037681   ])
51883   , -74938.9    , array([ 0.0823029  ,  10.2546    ,  2.86766e-23,  1.01111e-70,  0.037681   ])
51884   , -74972.8    , array([ 0.0823029  ,  10.2546    ,  2.86766e-23,  1.0101e-70 ,  0.0377187  ])
51885   , -63301.1    , array([ 0.0902792  ,  14.8709    ,  4.62628e-26,  1.0101e-70 ,  0.0281401  ])
51886   , -63301.1    , array([ 0.0902792  ,  14.8709    ,  4.62628e-26,  1.0101e-70 ,  0.0281401  ])
51887   , -63268.9    , array([ 0.0903695  ,  14.8709    ,  4.62628e-26,  1.0101e-70 ,  0.0281401  ])
51888   , -63301.8    , array([ 0.0902792  ,  14.8858    ,  4.62628e-26,  1.0101e-70 ,  0.0281401  ])
51889   , -63301.1    , array([ 0.0902792  ,  14.8709    ,  4.63091e-26,  1.0101e-70 ,  0.0281401  ])
51890   , -63301.1    , array([ 0.0902792  ,  14.8709    ,  4.62628e-26,  1.01111e-70,  0.0281401  ])
51891   , -63324.8    , array([ 0.0902792  ,  14.8709    ,  4.62628e-26,  1.0101e-70 ,  0.0281682  ])
51892   , -50260      , array([ 0.164226   ,  31.2391    ,  3.4621e-30 ,  1.0101e-70 ,  0.0230233  ])
51893   , -50260      , array([ 0.164226   ,  31.2391    ,  3.4621e-30 ,  1.0101e-70 ,  0.0230233  ])
51894   , -50254.3    , array([ 0.16439    ,  31.2391    ,  3.4621e-30 ,  1.0101e-70 ,  0.0230233  ])
51895   , -50260.3    , array([ 0.164226   ,  31.2703    ,  3.4621e-30 ,  1.0101e-70 ,  0.0230233  ])
51896   , -50260      , array([ 0.164226   ,  31.2391    ,  3.46557e-30,  1.0101e-70 ,  0.0230233  ])
51897   , -50260      , array([ 0.164226   ,  31.2391    ,  3.4621e-30 ,  1.01111e-70,  0.0230233  ])
51898   , -50261.3    , array([ 0.164226   ,  31.2391    ,  3.4621e-30 ,  1.0101e-70 ,  0.0230463  ])
51899   , -45410.3    , array([ 0.527667   ,  24.6123    ,  7.99585e-25,  1.0101e-70 ,  0.0793556  ])
51900   , -45410.3    , array([ 0.527667   ,  24.6123    ,  7.99585e-25,  1.0101e-70 ,  0.0793556  ])
51901   , -45407.9    , array([ 0.528195   ,  24.6123    ,  7.99585e-25,  1.0101e-70 ,  0.0793556  ])
51902   , -45411.6    , array([ 0.527667   ,  24.637     ,  7.99585e-25,  1.0101e-70 ,  0.0793556  ])
51903   , -45410.3    , array([ 0.527667   ,  24.6123    ,  8.00385e-25,  1.0101e-70 ,  0.0793556  ])
51904   , -45410.3    , array([ 0.527667   ,  24.6123    ,  7.99585e-25,  1.01111e-70,  0.0793556  ])
51905   , -45410.3    , array([ 0.527667   ,  24.6123    ,  7.99585e-25,  1.0101e-70 ,  0.079435   ])
