51012   , -393.029    , array([ 2.88558    ,  0.032688   ,  1.50766e-32,  0.123013   ])
51013   , -393.029    , array([ 2.88847    ,  0.032688   ,  1.50766e-32,  0.123013   ])
51014   , -393.025    , array([ 2.88558    ,  0.0327207  ,  1.50766e-32,  0.123013   ])
51015   , -393.029    , array([ 2.88558    ,  0.032688   ,  1.50917e-32,  0.123013   ])
51016   , -393.053    , array([ 2.88558    ,  0.032688   ,  1.50766e-32,  0.123136   ])
51017   , -393.033    , array([ 2.88558    ,  0.0314044  ,  1.50766e-32,  0.11955    ])
51018   , -393.033    , array([ 2.88558    ,  0.0314044  ,  1.50766e-32,  0.11955    ])
51019   , -393.033    , array([ 2.88847    ,  0.0314044  ,  1.50766e-32,  0.11955    ])
51020   , -393.02     , array([ 2.88558    ,  0.0314358  ,  1.50766e-32,  0.11955    ])
51021   , -393.033    , array([ 2.88558    ,  0.0314044  ,  1.50917e-32,  0.11955    ])
51022   , -393.071    , array([ 2.88558    ,  0.0314044  ,  1.50766e-32,  0.119669   ])
51023   , -393.029    , array([ 2.88558    ,  0.0324163  ,  1.50766e-32,  0.122283   ])
51024   , -393.029    , array([ 2.88558    ,  0.0324163  ,  1.50766e-32,  0.122283   ])
51025   , -393.029    , array([ 2.88847    ,  0.0324163  ,  1.50766e-32,  0.122283   ])
51026   , -393.023    , array([ 2.88558    ,  0.0324487  ,  1.50766e-32,  0.122283   ])
51027   , -393.029    , array([ 2.88558    ,  0.0324163  ,  1.50917e-32,  0.122283   ])
51028   , -393.055    , array([ 2.88558    ,  0.0324163  ,  1.50766e-32,  0.122405   ])
51029   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51030   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51031   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51032   , -393.025    , array([ 2.88558    ,  0.0326632  ,  1.50766e-32,  0.122858   ])
51033   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51034   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51035   , -393.029    , array([ 2.88558    ,  0.0325852  ,  1.50766e-32,  0.122737   ])
51036   , -393.029    , array([ 2.88558    ,  0.0325852  ,  1.50766e-32,  0.122737   ])
51037   , -393.029    , array([ 2.88847    ,  0.0325852  ,  1.50766e-32,  0.122737   ])
51038   , -393.024    , array([ 2.88558    ,  0.0326178  ,  1.50766e-32,  0.122737   ])
51039   , -393.029    , array([ 2.88558    ,  0.0325852  ,  1.50917e-32,  0.122737   ])
51040   , -393.054    , array([ 2.88558    ,  0.0325852  ,  1.50766e-32,  0.12286    ])
51041   , -393.029    , array([ 2.88558    ,  0.0326209  ,  1.50766e-32,  0.122833   ])
51042   , -393.029    , array([ 2.88558    ,  0.0326209  ,  1.50766e-32,  0.122833   ])
