175242  , -1694.44    , array([ 2.40806    ,  0.0596777  ,  2.7177e-27 ,  5.19245e-83,  0.021492   ])
175243  , -1694.44    , array([ 2.40806    ,  0.0596777  ,  2.71498e-27,  5.19765e-83,  0.021492   ])
175244  , -1694.41    , array([ 2.40806    ,  0.0596777  ,  2.71498e-27,  5.19245e-83,  0.0215135  ])
175245  , -1694.16    , array([ 2.35273    ,  0.0587647  ,  2.70478e-27,  5.19245e-83,  0.0211559  ])
175246  , -1694.16    , array([ 2.35273    ,  0.0587647  ,  2.70478e-27,  5.19245e-83,  0.0211559  ])
175247  , -1694.29    , array([ 2.35509    ,  0.0587647  ,  2.70478e-27,  5.19245e-83,  0.0211559  ])
175248  , -1694.04    , array([ 2.35273    ,  0.0588235  ,  2.70478e-27,  5.19245e-83,  0.0211559  ])
175249  , -1694.16    , array([ 2.35273    ,  0.0587647  ,  2.70749e-27,  5.19245e-83,  0.0211559  ])
175250  , -1694.16    , array([ 2.35273    ,  0.0587647  ,  2.70478e-27,  5.19765e-83,  0.0211559  ])
175251  , -1694.12    , array([ 2.35273    ,  0.0587647  ,  2.70478e-27,  5.19245e-83,  0.0211771  ])
175252  , -1693.59    , array([ 2.31801    ,  0.0583502  ,  2.6599e-27 ,  5.19245e-83,  0.0210028  ])
175253  , -1693.59    , array([ 2.31801    ,  0.0583502  ,  2.6599e-27 ,  5.19245e-83,  0.0210028  ])
175254  , -1693.72    , array([ 2.32033    ,  0.0583502  ,  2.6599e-27 ,  5.19245e-83,  0.0210028  ])
175255  , -1693.47    , array([ 2.31801    ,  0.0584085  ,  2.6599e-27 ,  5.19245e-83,  0.0210028  ])
175256  , -1693.59    , array([ 2.31801    ,  0.0583502  ,  2.66256e-27,  5.19245e-83,  0.0210028  ])
175257  , -1693.59    , array([ 2.31801    ,  0.0583502  ,  2.6599e-27 ,  5.19765e-83,  0.0210028  ])
175258  , -1693.55    , array([ 2.31801    ,  0.0583502  ,  2.6599e-27 ,  5.19245e-83,  0.0210238  ])
175259  , -1692.15    , array([ 2.18419    ,  0.0567209  ,  2.48768e-27,  5.19245e-83,  0.0204014  ])
175260  , -1692.15    , array([ 2.18419    ,  0.0567209  ,  2.48768e-27,  5.19245e-83,  0.0204014  ])
175261  , -1692.28    , array([ 2.18637    ,  0.0567209  ,  2.48768e-27,  5.19245e-83,  0.0204014  ])
175262  , -1692.02    , array([ 2.18419    ,  0.0567777  ,  2.48768e-27,  5.19245e-83,  0.0204014  ])
175263  , -1692.15    , array([ 2.18419    ,  0.0567209  ,  2.49017e-27,  5.19245e-83,  0.0204014  ])
175264  , -1692.15    , array([ 2.18419    ,  0.0567209  ,  2.48768e-27,  5.19765e-83,  0.0204014  ])
175265  , -1692.09    , array([ 2.18419    ,  0.0567209  ,  2.48768e-27,  5.19245e-83,  0.0204218  ])
175266  , -1689.01    , array([ 2.05578    ,  0.0557647  ,  2.18596e-27,  5.19245e-83,  0.0200446  ])
175267  , -1689.01    , array([ 2.05578    ,  0.0557647  ,  2.18596e-27,  5.19245e-83,  0.0200446  ])
175268  , -1689.13    , array([ 2.05783    ,  0.0557647  ,  2.18596e-27,  5.19245e-83,  0.0200446  ])
175269  , -1688.87    , array([ 2.05578    ,  0.0558205  ,  2.18596e-27,  5.19245e-83,  0.0200446  ])
175270  , -1689.01    , array([ 2.05578    ,  0.0557647  ,  2.18815e-27,  5.19245e-83,  0.0200446  ])
175271  , -1689.01    , array([ 2.05578    ,  0.0557647  ,  2.18596e-27,  5.19765e-83,  0.0200446  ])
175272  , -1688.94    , array([ 2.05578    ,  0.0557647  ,  2.18596e-27,  5.19245e-83,  0.0200647  ])
175273  , -1683.46    , array([ 1.90486    ,  0.0551453  ,  1.76232e-27,  5.19245e-83,  0.0198075  ])
175274  , -1683.46    , array([ 1.90486    ,  0.0551453  ,  1.76232e-27,  5.19245e-83,  0.0198075  ])
175275  , -1683.56    , array([ 1.90677    ,  0.0551453  ,  1.76232e-27,  5.19245e-83,  0.0198075  ])
175276  , -1683.31    , array([ 1.90486    ,  0.0552005  ,  1.76232e-27,  5.19245e-83,  0.0198075  ])
175277  , -1683.46    , array([ 1.90486    ,  0.0551453  ,  1.76408e-27,  5.19245e-83,  0.0198075  ])
175278  , -1683.46    , array([ 1.90486    ,  0.0551453  ,  1.76232e-27,  5.19765e-83,  0.0198075  ])
175279  , -1683.38    , array([ 1.90486    ,  0.0551453  ,  1.76232e-27,  5.19245e-83,  0.0198273  ])
175280  , -1673.55    , array([ 1.69541    ,  0.05491    ,  1.18713e-27,  5.19245e-83,  0.0197022  ])
175281  , -1673.55    , array([ 1.69541    ,  0.05491    ,  1.18713e-27,  5.19245e-83,  0.0197022  ])
175282  , -1673.63    , array([ 1.69711    ,  0.05491    ,  1.18713e-27,  5.19245e-83,  0.0197022  ])
175283  , -1673.4     , array([ 1.69541    ,  0.0549649  ,  1.18713e-27,  5.19245e-83,  0.0197022  ])
175284  , -1673.55    , array([ 1.69541    ,  0.05491    ,  1.18831e-27,  5.19245e-83,  0.0197022  ])
175285  , -1673.55    , array([ 1.69541    ,  0.05491    ,  1.18713e-27,  5.19765e-83,  0.0197022  ])
175286  , -1673.46    , array([ 1.69541    ,  0.05491    ,  1.18713e-27,  5.19245e-83,  0.0197219  ])
175287  , -1658.28    , array([ 1.40069    ,  0.0558761  ,  5.47434e-28,  5.19245e-83,  0.0200126  ])
175288  , -1658.28    , array([ 1.40069    ,  0.0558761  ,  5.47434e-28,  5.19245e-83,  0.0200126  ])
175289  , -1658.31    , array([ 1.40209    ,  0.0558761  ,  5.47434e-28,  5.19245e-83,  0.0200126  ])
175290  , -1658.15    , array([ 1.40069    ,  0.055932   ,  5.47434e-28,  5.19245e-83,  0.0200126  ])
175291  , -1658.28    , array([ 1.40069    ,  0.0558761  ,  5.47982e-28,  5.19245e-83,  0.0200126  ])
175292  , -1658.28    , array([ 1.40069    ,  0.0558761  ,  5.47434e-28,  5.19765e-83,  0.0200126  ])
175293  , -1658.21    , array([ 1.40069    ,  0.0558761  ,  5.47434e-28,  5.19245e-83,  0.0200326  ])
175294  , -1646.9     , array([ 1.25656    ,  0.0595801  ,  2.66171e-28,  5.19245e-83,  0.0213021  ])
175295  , -1646.9     , array([ 1.25656    ,  0.0595801  ,  2.66171e-28,  5.19245e-83,  0.0213021  ])
175296  , -1646.85    , array([ 1.25782    ,  0.0595801  ,  2.66171e-28,  5.19245e-83,  0.0213021  ])
175297  , -1646.82    , array([ 1.25656    ,  0.0596397  ,  2.66171e-28,  5.19245e-83,  0.0213021  ])
175298  , -1646.9     , array([ 1.25656    ,  0.0595801  ,  2.66437e-28,  5.19245e-83,  0.0213021  ])
175299  , -1646.9     , array([ 1.25656    ,  0.0595801  ,  2.66171e-28,  5.19765e-83,  0.0213021  ])
175300  , -1646.86    , array([ 1.25656    ,  0.0595801  ,  2.66171e-28,  5.19245e-83,  0.0213234  ])
175301  , -1635.91    , array([ 1.34092    ,  0.0645978  ,  2.21073e-28,  5.19245e-83,  0.0230907  ])
175302  , -1635.91    , array([ 1.34092    ,  0.0645978  ,  2.21073e-28,  5.19245e-83,  0.0230907  ])
175303  , -1635.88    , array([ 1.34226    ,  0.0645978  ,  2.21073e-28,  5.19245e-83,  0.0230907  ])
175304  , -1635.91    , array([ 1.34092    ,  0.0646624  ,  2.21073e-28,  5.19245e-83,  0.0230907  ])
175305  , -1635.91    , array([ 1.34092    ,  0.0645978  ,  2.21294e-28,  5.19245e-83,  0.0230907  ])
175306  , -1635.91    , array([ 1.34092    ,  0.0645978  ,  2.21073e-28,  5.19765e-83,  0.0230907  ])
175307  , -1635.87    , array([ 1.34092    ,  0.0645978  ,  2.21073e-28,  5.19245e-83,  0.0231138  ])
175308  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175309  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175310  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175311  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175312  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
175313  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19765e-83,  0.0244081  ])
175314  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244325  ])
175315  , -1632.55    , array([ 1.43631    ,  0.0676181  ,  2.23585e-28,  5.19245e-83,  0.0242132  ])
175316  , -1632.55    , array([ 1.43631    ,  0.0676181  ,  2.23585e-28,  5.19245e-83,  0.0242132  ])
175317  , -1632.55    , array([ 1.43775    ,  0.0676181  ,  2.23585e-28,  5.19245e-83,  0.0242132  ])
175318  , -1632.55    , array([ 1.43631    ,  0.0676857  ,  2.23585e-28,  5.19245e-83,  0.0242132  ])
175319  , -1632.55    , array([ 1.43631    ,  0.0676181  ,  2.23809e-28,  5.19245e-83,  0.0242132  ])
175320  , -1632.55    , array([ 1.43631    ,  0.0676181  ,  2.23585e-28,  5.19765e-83,  0.0242132  ])
175321  , -1632.55    , array([ 1.43631    ,  0.0676181  ,  2.23585e-28,  5.19245e-83,  0.0242374  ])
175322  , -1632.36    , array([ 1.44872    ,  0.068134   ,  2.21666e-28,  5.19245e-83,  0.0243957  ])
175323  , -1632.36    , array([ 1.44872    ,  0.068134   ,  2.21666e-28,  5.19245e-83,  0.0243957  ])
175324  , -1632.36    , array([ 1.45016    ,  0.068134   ,  2.21666e-28,  5.19245e-83,  0.0243957  ])
175325  , -1632.37    , array([ 1.44872    ,  0.0682021  ,  2.21666e-28,  5.19245e-83,  0.0243957  ])
175326  , -1632.36    , array([ 1.44872    ,  0.068134   ,  2.21888e-28,  5.19245e-83,  0.0243957  ])
175327  , -1632.36    , array([ 1.44872    ,  0.068134   ,  2.21666e-28,  5.19765e-83,  0.0243957  ])
175328  , -1632.36    , array([ 1.44872    ,  0.068134   ,  2.21666e-28,  5.19245e-83,  0.0244201  ])
175329  , -1632.35    , array([ 1.4495     ,  0.0681667  ,  2.21545e-28,  5.19245e-83,  0.0244072  ])
175330  , -1632.35    , array([ 1.4495     ,  0.0681667  ,  2.21545e-28,  5.19245e-83,  0.0244072  ])
175331  , -1632.35    , array([ 1.45095    ,  0.0681667  ,  2.21545e-28,  5.19245e-83,  0.0244072  ])
175332  , -1632.36    , array([ 1.4495     ,  0.0682349  ,  2.21545e-28,  5.19245e-83,  0.0244072  ])
175333  , -1632.35    , array([ 1.4495     ,  0.0681667  ,  2.21767e-28,  5.19245e-83,  0.0244072  ])
175334  , -1632.35    , array([ 1.4495     ,  0.0681667  ,  2.21545e-28,  5.19765e-83,  0.0244072  ])
175335  , -1632.35    , array([ 1.4495     ,  0.0681667  ,  2.21545e-28,  5.19245e-83,  0.0244317  ])
175336  , -1632.35    , array([ 1.44956    ,  0.0681689  ,  2.21537e-28,  5.19245e-83,  0.024408   ])
175337  , -1632.35    , array([ 1.44956    ,  0.0681689  ,  2.21537e-28,  5.19245e-83,  0.024408   ])
175338  , -1632.35    , array([ 1.45101    ,  0.0681689  ,  2.21537e-28,  5.19245e-83,  0.024408   ])
175339  , -1632.36    , array([ 1.44956    ,  0.0682371  ,  2.21537e-28,  5.19245e-83,  0.024408   ])
175340  , -1632.35    , array([ 1.44956    ,  0.0681689  ,  2.21758e-28,  5.19245e-83,  0.024408   ])
175341  , -1632.35    , array([ 1.44956    ,  0.0681689  ,  2.21537e-28,  5.19765e-83,  0.024408   ])
175342  , -1632.35    , array([ 1.44956    ,  0.0681689  ,  2.21537e-28,  5.19245e-83,  0.0244324  ])
175343  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175344  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175345  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175346  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175347  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
175348  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19765e-83,  0.0244081  ])
175349  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244325  ])
175350  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175351  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175352  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175353  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175354  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
175355  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19765e-83,  0.0244081  ])
175356  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244325  ])
175357  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175358  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175359  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175360  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175361  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
175362  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19765e-83,  0.0244081  ])
175363  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244325  ])
175364  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175365  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175366  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175367  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175368  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
175369  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19765e-83,  0.0244081  ])
175370  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244325  ])
175371  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175372  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175373  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175374  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175375  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
175376  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19765e-83,  0.0244081  ])
175377  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244325  ])
175378  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175379  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175380  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175381  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175382  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
175383  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19765e-83,  0.0244081  ])
175384  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244325  ])
175385  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175386  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175387  , -1632.35    , array([ 1.45101    ,  0.0681691  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175388  , -1632.36    , array([ 1.44956    ,  0.0682373  ,  2.21536e-28,  5.19245e-83,  0.0244081  ])
175389  , -1632.35    , array([ 1.44956    ,  0.0681691  ,  2.21758e-28,  5.19245e-83,  0.0244081  ])
