286442  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17731e-11,  0.0254579  ])
286443  , -1593.23    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254834  ])
286451  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286452  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286453  , -1594.48    , array([ 1.42663    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286454  , -1595.5     , array([ 1.42521    ,  0.0722867  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286455  , -1594.39    , array([ 1.42521    ,  0.0722144  ,  1.22853    ,  3.17413e-11,  0.0254579  ])
286456  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17731e-11,  0.0254579  ])
286457  , -1593.23    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254834  ])
286458  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286459  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286460  , -1594.48    , array([ 1.42663    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286461  , -1595.5     , array([ 1.42521    ,  0.0722867  ,  1.2273     ,  3.17413e-11,  0.0254579  ])
286462  , -1594.39    , array([ 1.42521    ,  0.0722144  ,  1.22853    ,  3.17413e-11,  0.0254579  ])
286463  , -1594.41    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17731e-11,  0.0254579  ])
286464  , -1593.23    , array([ 1.42521    ,  0.0722144  ,  1.2273     ,  3.17413e-11,  0.0254834  ])
286465  , -1592.18    , array([ 1.38687    ,  0.0780277  ,  3.95575    ,  3.17413e-11,  0.0280124  ])
286466  , -1592.18    , array([ 1.38687    ,  0.0780277  ,  3.95575    ,  3.17413e-11,  0.0280124  ])
286467  , -1592.42    , array([ 1.38826    ,  0.0780277  ,  3.95575    ,  3.17413e-11,  0.0280124  ])
286468  , -1594.17    , array([ 1.38687    ,  0.0781057  ,  3.95575    ,  3.17413e-11,  0.0280124  ])
286469  , -1592.37    , array([ 1.38687    ,  0.0780277  ,  3.95971    ,  3.17413e-11,  0.0280124  ])
286470  , -1592.18    , array([ 1.38687    ,  0.0780277  ,  3.95575    ,  3.17731e-11,  0.0280124  ])
286471  , -1590.08    , array([ 1.38687    ,  0.0780277  ,  3.95575    ,  3.17413e-11,  0.0280404  ])
286472  , -1581.83    , array([ 1.41613    ,  0.073537   ,  1.6147     ,  3.17413e-11,  0.026035   ])
286473  , -1581.83    , array([ 1.41613    ,  0.073537   ,  1.6147     ,  3.17413e-11,  0.026035   ])
286474  , -1581.92    , array([ 1.41754    ,  0.073537   ,  1.6147     ,  3.17413e-11,  0.026035   ])
286475  , -1583       , array([ 1.41613    ,  0.0736105  ,  1.6147     ,  3.17413e-11,  0.026035   ])
286476  , -1581.81    , array([ 1.41613    ,  0.073537   ,  1.61632    ,  3.17413e-11,  0.026035   ])
286477  , -1581.83    , array([ 1.41613    ,  0.073537   ,  1.6147     ,  3.17731e-11,  0.026035   ])
286478  , -1580.55    , array([ 1.41613    ,  0.073537   ,  1.6147     ,  3.17413e-11,  0.026061   ])
286479  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286480  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286481  , -1568.27    , array([ 1.40156    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286482  , -1569.61    , array([ 1.40016    ,  0.0760194  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286483  , -1568.16    , array([ 1.40016    ,  0.0759434  ,  2.62978    ,  3.17413e-11,  0.0270912  ])
286484  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17731e-11,  0.0270912  ])
286485  , -1566.5     , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0271183  ])
286493  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286494  , -1568.12    , array([ 1.40016    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286495  , -1568.27    , array([ 1.40156    ,  0.0759434  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286496  , -1569.61    , array([ 1.40016    ,  0.0760194  ,  2.62715    ,  3.17413e-11,  0.0270912  ])
286497  , -1568.16    , array([ 1.40016    ,  0.0759434  ,  2.62978    ,  3.17413e-11,  0.0270912  ])
