152639  , -79070.5    , array([ 2.90052    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152640  , -79070.5    , array([ 2.89762    ,  0.00106704 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152641  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323915,  2.22543e-21,  1.71725e-08])
152642  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22766e-21,  1.71725e-08])
152643  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71897e-08])
152644  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152645  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152646  , -79070.5    , array([ 2.90052    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152647  , -79070.5    , array([ 2.89762    ,  0.00106704 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152648  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323915,  2.22543e-21,  1.71725e-08])
152649  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22766e-21,  1.71725e-08])
152650  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71897e-08])
152651  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152652  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152653  , -79070.5    , array([ 2.90052    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152654  , -79070.5    , array([ 2.89762    ,  0.00106704 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152655  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323915,  2.22543e-21,  1.71725e-08])
152656  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22766e-21,  1.71725e-08])
152657  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71897e-08])
152665  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152666  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152667  , -79070.5    , array([ 2.90052    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152668  , -79070.5    , array([ 2.89762    ,  0.00106704 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152669  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323915,  2.22543e-21,  1.71725e-08])
152670  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22766e-21,  1.71725e-08])
152671  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71897e-08])
152672  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152673  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152674  , -79070.5    , array([ 2.90052    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152675  , -79070.5    , array([ 2.89762    ,  0.00106704 ,  0.000323591,  2.22543e-21,  1.71725e-08])
152676  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323915,  2.22543e-21,  1.71725e-08])
152677  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22766e-21,  1.71725e-08])
152678  , -79070.5    , array([ 2.89762    ,  0.00106598 ,  0.000323591,  2.22543e-21,  1.71897e-08])
152679  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152680  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152681  , -79068.7    , array([ 2.88973    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152682  , -79068.7    , array([ 2.88685    ,  0.00102222 ,  0.000323591,  2.22543e-21,  1.80177e-08])
152683  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323915,  2.22543e-21,  1.80177e-08])
152684  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22766e-21,  1.80177e-08])
152685  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80357e-08])
152686  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152687  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152688  , -79068.7    , array([ 2.88973    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152689  , -79068.7    , array([ 2.88685    ,  0.00102222 ,  0.000323591,  2.22543e-21,  1.80177e-08])
152690  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323915,  2.22543e-21,  1.80177e-08])
152691  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22766e-21,  1.80177e-08])
152692  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80357e-08])
152693  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152694  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152695  , -79068.7    , array([ 2.88973    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80177e-08])
152696  , -79068.7    , array([ 2.88685    ,  0.00102222 ,  0.000323591,  2.22543e-21,  1.80177e-08])
152697  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323915,  2.22543e-21,  1.80177e-08])
152698  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22766e-21,  1.80177e-08])
152699  , -79068.7    , array([ 2.88685    ,  0.0010212  ,  0.000323591,  2.22543e-21,  1.80357e-08])
152703  , -79067.8    , array([ 2.88147    ,  0.00100052 ,  0.000323591,  2.22543e-21,  1.84557e-08])
152707  , -79068.4    , array([ 2.88515    ,  0.00101429 ,  0.000323591,  2.22543e-21,  1.8155e-08 ])
152708  , -79068.4    , array([ 2.88515    ,  0.00101429 ,  0.000323591,  2.22543e-21,  1.8155e-08 ])
152709  , -79068.4    , array([ 2.88803    ,  0.00101429 ,  0.000323591,  2.22543e-21,  1.8155e-08 ])
152710  , -79068.4    , array([ 2.88515    ,  0.00101531 ,  0.000323591,  2.22543e-21,  1.8155e-08 ])
152711  , -79068.4    , array([ 2.88515    ,  0.00101429 ,  0.000323915,  2.22543e-21,  1.8155e-08 ])
152712  , -79068.4    , array([ 2.88515    ,  0.00101429 ,  0.000323591,  2.22766e-21,  1.8155e-08 ])
152713  , -79068.4    , array([ 2.88515    ,  0.00101429 ,  0.000323591,  2.22543e-21,  1.81732e-08])
152714  , -79068      , array([ 2.88289    ,  0.00100519 ,  0.000323591,  2.22543e-21,  1.83391e-08])
152715  , -79068      , array([ 2.88289    ,  0.00100519 ,  0.000323591,  2.22543e-21,  1.83391e-08])
152716  , -79068      , array([ 2.88578    ,  0.00100519 ,  0.000323591,  2.22543e-21,  1.83391e-08])
152717  , -79068      , array([ 2.88289    ,  0.0010062  ,  0.000323591,  2.22543e-21,  1.83391e-08])
152718  , -79068      , array([ 2.88289    ,  0.00100519 ,  0.000323915,  2.22543e-21,  1.83391e-08])
152719  , -79068      , array([ 2.88289    ,  0.00100519 ,  0.000323591,  2.22766e-21,  1.83391e-08])
152720  , -79068      , array([ 2.88289    ,  0.00100519 ,  0.000323591,  2.22543e-21,  1.83574e-08])
152721  , -79067.9    , array([ 2.8822     ,  0.00100244 ,  0.000323591,  2.22543e-21,  1.83955e-08])
152722  , -79067.9    , array([ 2.8822     ,  0.00100244 ,  0.000323591,  2.22543e-21,  1.83955e-08])
152723  , -79067.9    , array([ 2.88509    ,  0.00100244 ,  0.000323591,  2.22543e-21,  1.83955e-08])
152724  , -79067.9    , array([ 2.8822     ,  0.00100344 ,  0.000323591,  2.22543e-21,  1.83955e-08])
152725  , -79067.9    , array([ 2.8822     ,  0.00100244 ,  0.000323915,  2.22543e-21,  1.83955e-08])
152726  , -79067.9    , array([ 2.8822     ,  0.00100244 ,  0.000323591,  2.22766e-21,  1.83955e-08])
