179893  , -1653.15    , array([ 1.42109    ,  0.0668803  ,  0.00025603 ,  4.07039e-67,  0.024856   ])
179894  , -1652.06    , array([ 1.41967    ,  0.0669472  ,  0.00025603 ,  4.07039e-67,  0.024856   ])
179895  , -1653.18    , array([ 1.41967    ,  0.0668803  ,  0.000256286,  4.07039e-67,  0.024856   ])
179896  , -1653.18    , array([ 1.41967    ,  0.0668803  ,  0.00025603 ,  4.07447e-67,  0.024856   ])
179897  , -1654.3     , array([ 1.41967    ,  0.0668803  ,  0.00025603 ,  4.07039e-67,  0.0248809  ])
179898  , -1632.6     , array([ 1.43968    ,  0.0675662  ,  0.000260444,  4.07039e-67,  0.0242487  ])
179899  , -1632.6     , array([ 1.43968    ,  0.0675662  ,  0.000260444,  4.07039e-67,  0.0242487  ])
179900  , -1632.6     , array([ 1.44112    ,  0.0675662  ,  0.000260444,  4.07039e-67,  0.0242487  ])
179901  , -1632.53    , array([ 1.43968    ,  0.0676338  ,  0.000260444,  4.07039e-67,  0.0242487  ])
179902  , -1632.6     , array([ 1.43968    ,  0.0675662  ,  0.000260704,  4.07039e-67,  0.0242487  ])
179903  , -1632.6     , array([ 1.43968    ,  0.0675662  ,  0.000260444,  4.07447e-67,  0.0242487  ])
179904  , -1632.66    , array([ 1.43968    ,  0.0675662  ,  0.000260444,  4.07039e-67,  0.024273   ])
179905  , -1632.54    , array([ 1.44074    ,  0.0676049  ,  0.000260736,  4.07039e-67,  0.0242123  ])
179906  , -1632.54    , array([ 1.44074    ,  0.0676049  ,  0.000260736,  4.07039e-67,  0.0242123  ])
179907  , -1632.54    , array([ 1.44218    ,  0.0676049  ,  0.000260736,  4.07039e-67,  0.0242123  ])
179908  , -1632.54    , array([ 1.44074    ,  0.0676725  ,  0.000260736,  4.07039e-67,  0.0242123  ])
179909  , -1632.54    , array([ 1.44074    ,  0.0676049  ,  0.000260997,  4.07039e-67,  0.0242123  ])
179910  , -1632.54    , array([ 1.44074    ,  0.0676049  ,  0.000260736,  4.07447e-67,  0.0242123  ])
