129910  , -1884.92    , array([ 9.90232    ,  0.0531629  ,  1.17473e-54,  1.36348e-59,  0.019957   ])
129911  , -1884.92    , array([ 9.90232    ,  0.0531629  ,  1.17473e-54,  1.36348e-59,  0.019957   ])
129912  , -1884.98    , array([ 9.91223    ,  0.0531629  ,  1.17473e-54,  1.36348e-59,  0.019957   ])
129913  , -1883.61    , array([ 9.90232    ,  0.0532161  ,  1.17473e-54,  1.36348e-59,  0.019957   ])
129914  , -1884.92    , array([ 9.90232    ,  0.0531629  ,  1.17591e-54,  1.36348e-59,  0.019957   ])
129915  , -1884.92    , array([ 9.90232    ,  0.0531629  ,  1.17473e-54,  1.36484e-59,  0.019957   ])
129916  , -1886.16    , array([ 9.90232    ,  0.0531629  ,  1.17473e-54,  1.36348e-59,  0.0199769  ])
129917  , -21023      , array([ 0.0844896  ,  0.0541539  ,  1.11738e-49,  1.36348e-59,  0.0226191  ])
129918  , -21023      , array([ 0.0844896  ,  0.0541539  ,  1.11738e-49,  1.36348e-59,  0.0226191  ])
129919  , -20997.6    , array([ 0.0845741  ,  0.0541539  ,  1.11738e-49,  1.36348e-59,  0.0226191  ])
129920  , -21023.1    , array([ 0.0844896  ,  0.0542081  ,  1.11738e-49,  1.36348e-59,  0.0226191  ])
129921  , -21023      , array([ 0.0844896  ,  0.0541539  ,  1.11849e-49,  1.36348e-59,  0.0226191  ])
129922  , -21023      , array([ 0.0844896  ,  0.0541539  ,  1.11738e-49,  1.36484e-59,  0.0226191  ])
129923  , -21045.7    , array([ 0.0844896  ,  0.0541539  ,  1.11738e-49,  1.36348e-59,  0.0226418  ])
129924  , -1808.79    , array([ 2.85397    ,  0.0534199  ,  2.3441e-53 ,  1.36348e-59,  0.0206203  ])
129925  , -1808.79    , array([ 2.85397    ,  0.0534199  ,  2.3441e-53 ,  1.36348e-59,  0.0206203  ])
129926  , -1808.91    , array([ 2.85683    ,  0.0534199  ,  2.3441e-53 ,  1.36348e-59,  0.0206203  ])
129927  , -1806.5     , array([ 2.85397    ,  0.0534734  ,  2.3441e-53 ,  1.36348e-59,  0.0206203  ])
129928  , -1808.79    , array([ 2.85397    ,  0.0534199  ,  2.34644e-53,  1.36348e-59,  0.0206203  ])
129929  , -1808.79    , array([ 2.85397    ,  0.0534199  ,  2.3441e-53 ,  1.36484e-59,  0.0206203  ])
129930  , -1810.86    , array([ 2.85397    ,  0.0534199  ,  2.3441e-53 ,  1.36348e-59,  0.020641   ])
129931  , -2134.82    , array([ 0.637122   ,  0.0537314  ,  8.6488e-52 ,  1.36348e-59,  0.0214493  ])
129932  , -2134.82    , array([ 0.637122   ,  0.0537314  ,  8.6488e-52 ,  1.36348e-59,  0.0214493  ])
129933  , -2133.83    , array([ 0.637759   ,  0.0537314  ,  8.6488e-52 ,  1.36348e-59,  0.0214493  ])
129934  , -2131.26    , array([ 0.637122   ,  0.0537852  ,  8.6488e-52 ,  1.36348e-59,  0.0214493  ])
129935  , -2134.82    , array([ 0.637122   ,  0.0537314  ,  8.65746e-52,  1.36348e-59,  0.0214493  ])
129936  , -2134.82    , array([ 0.637122   ,  0.0537314  ,  8.6488e-52 ,  1.36484e-59,  0.0214493  ])
129937  , -2138.87    , array([ 0.637122   ,  0.0537314  ,  8.6488e-52 ,  1.36348e-59,  0.0214708  ])
129938  , -1782.97    , array([ 1.87767    ,  0.0535067  ,  6.41938e-53,  1.36348e-59,  0.0208485  ])
