2016    , -1311.92    , array([ 1.00283    ,  0.0964956  ,  4.92036    ,  2.76109    ,  0.0485115  ])
2017    , -1311.91    , array([ 1.00384    ,  0.0964956  ,  4.92036    ,  2.76109    ,  0.0485115  ])
2018    , -1311.93    , array([ 1.00283    ,  0.0965922  ,  4.92036    ,  2.76109    ,  0.0485115  ])
2019    , -1311.91    , array([ 1.00283    ,  0.0964956  ,  4.92529    ,  2.76109    ,  0.0485115  ])
2020    , -1311.93    , array([ 1.00283    ,  0.0964956  ,  4.92036    ,  2.76385    ,  0.0485115  ])
2021    , -1311.91    , array([ 1.00283    ,  0.0964956  ,  4.92036    ,  2.76109    ,  0.0485601  ])
2022    , -1311.69    , array([ 1.00297    ,  0.0966713  ,  4.92494    ,  2.69868    ,  0.0484086  ])
2023    , -1311.69    , array([ 1.00297    ,  0.0966713  ,  4.92494    ,  2.69868    ,  0.0484086  ])
2024    , -1311.69    , array([ 1.00397    ,  0.0966713  ,  4.92494    ,  2.69868    ,  0.0484086  ])
2025    , -1311.68    , array([ 1.00297    ,  0.096768   ,  4.92494    ,  2.69868    ,  0.0484086  ])
2026    , -1311.69    , array([ 1.00297    ,  0.0966713  ,  4.92987    ,  2.69868    ,  0.0484086  ])
2027    , -1311.7     , array([ 1.00297    ,  0.0966713  ,  4.92494    ,  2.70138    ,  0.0484086  ])
2028    , -1311.69    , array([ 1.00297    ,  0.0966713  ,  4.92494    ,  2.69868    ,  0.048457   ])
2029    , -1311.32    , array([ 1.00244    ,  0.0975125  ,  4.95608    ,  2.58328    ,  0.0485717  ])
2030    , -1311.32    , array([ 1.00244    ,  0.0975125  ,  4.95608    ,  2.58328    ,  0.0485717  ])
2031    , -1311.32    , array([ 1.00345    ,  0.0975125  ,  4.95608    ,  2.58328    ,  0.0485717  ])
2032    , -1311.31    , array([ 1.00244    ,  0.0976101  ,  4.95608    ,  2.58328    ,  0.0485717  ])
2033    , -1311.32    , array([ 1.00244    ,  0.0975125  ,  4.96104    ,  2.58328    ,  0.0485717  ])
2034    , -1311.32    , array([ 1.00244    ,  0.0975125  ,  4.95608    ,  2.58586    ,  0.0485717  ])
2035    , -1311.33    , array([ 1.00244    ,  0.0975125  ,  4.95608    ,  2.58328    ,  0.0486203  ])
2036    , -1311.19    , array([ 1.00157    ,  0.0980311  ,  4.97508    ,  2.54936    ,  0.0488096  ])
2037    , -1311.19    , array([ 1.00157    ,  0.0980311  ,  4.97508    ,  2.54936    ,  0.0488096  ])
2038    , -1311.19    , array([ 1.00258    ,  0.0980311  ,  4.97508    ,  2.54936    ,  0.0488096  ])
2039    , -1311.17    , array([ 1.00157    ,  0.0981292  ,  4.97508    ,  2.54936    ,  0.0488096  ])
2040    , -1311.18    , array([ 1.00157    ,  0.0980311  ,  4.98006    ,  2.54936    ,  0.0488096  ])
2041    , -1311.18    , array([ 1.00157    ,  0.0980311  ,  4.97508    ,  2.55191    ,  0.0488096  ])
2042    , -1311.19    , array([ 1.00157    ,  0.0980311  ,  4.97508    ,  2.54936    ,  0.0488584  ])
2043    , -1311.13    , array([ 1.00098    ,  0.0982438  ,  4.98183    ,  2.54499    ,  0.0489383  ])
2044    , -1311.13    , array([ 1.00098    ,  0.0982438  ,  4.98183    ,  2.54499    ,  0.0489383  ])
2045    , -1311.13    , array([ 1.00198    ,  0.0982438  ,  4.98183    ,  2.54499    ,  0.0489383  ])
2046    , -1311.13    , array([ 1.00098    ,  0.0983421  ,  4.98183    ,  2.54499    ,  0.0489383  ])
2047    , -1311.13    , array([ 1.00098    ,  0.0982438  ,  4.98681    ,  2.54499    ,  0.0489383  ])
2048    , -1311.13    , array([ 1.00098    ,  0.0982438  ,  4.98183    ,  2.54753    ,  0.0489383  ])
2049    , -1311.13    , array([ 1.00098    ,  0.0982438  ,  4.98183    ,  2.54499    ,  0.0489872  ])
2050    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2051    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2052    , -1311.12    , array([ 1.00173    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2053    , -1311.12    , array([ 1.00073    ,  0.0983799  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2054    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.9871     ,  2.54755    ,  0.0489701  ])
2055    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.55009    ,  0.0489701  ])
2056    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0490191  ])
2057    , -1311.12    , array([ 1.00066    ,  0.0982795  ,  4.98151    ,  2.54856    ,  0.0489708  ])
2058    , -1311.12    , array([ 1.00066    ,  0.0982795  ,  4.98151    ,  2.54856    ,  0.0489708  ])
2059    , -1311.12    , array([ 1.00166    ,  0.0982795  ,  4.98151    ,  2.54856    ,  0.0489708  ])
2060    , -1311.12    , array([ 1.00066    ,  0.0983778  ,  4.98151    ,  2.54856    ,  0.0489708  ])
2061    , -1311.12    , array([ 1.00066    ,  0.0982795  ,  4.9865     ,  2.54856    ,  0.0489708  ])
2062    , -1311.12    , array([ 1.00066    ,  0.0982795  ,  4.98151    ,  2.55111    ,  0.0489708  ])
2063    , -1311.12    , array([ 1.00066    ,  0.0982795  ,  4.98151    ,  2.54856    ,  0.0490198  ])
2064    , -1311.12    , array([ 1.00073    ,  0.0982814  ,  4.98207    ,  2.54762    ,  0.0489702  ])
2065    , -1311.12    , array([ 1.00073    ,  0.0982814  ,  4.98207    ,  2.54762    ,  0.0489702  ])
2066    , -1311.12    , array([ 1.00173    ,  0.0982814  ,  4.98207    ,  2.54762    ,  0.0489702  ])
2067    , -1311.12    , array([ 1.00073    ,  0.0983797  ,  4.98207    ,  2.54762    ,  0.0489702  ])
2068    , -1311.12    , array([ 1.00073    ,  0.0982814  ,  4.98705    ,  2.54762    ,  0.0489702  ])
2069    , -1311.12    , array([ 1.00073    ,  0.0982814  ,  4.98207    ,  2.55017    ,  0.0489702  ])
2070    , -1311.12    , array([ 1.00073    ,  0.0982814  ,  4.98207    ,  2.54762    ,  0.0490192  ])
2071    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2072    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2073    , -1311.12    , array([ 1.00173    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2074    , -1311.12    , array([ 1.00073    ,  0.0983799  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2075    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.9871     ,  2.54755    ,  0.0489701  ])
2076    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.5501     ,  0.0489701  ])
2077    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0490191  ])
2078    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2079    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2080    , -1311.12    , array([ 1.00173    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2081    , -1311.12    , array([ 1.00073    ,  0.0983799  ,  4.98211    ,  2.54755    ,  0.0489701  ])
2082    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.9871     ,  2.54755    ,  0.0489701  ])
2083    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.55009    ,  0.0489701  ])
2084    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98211    ,  2.54755    ,  0.0490191  ])
2085    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2086    , -1311.12    , array([ 1.00073    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
2087    , -1311.12    , array([ 1.00173    ,  0.0982816  ,  4.98212    ,  2.54755    ,  0.0489701  ])
