140598  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140599  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140600  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140601  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140602  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140603  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140604  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140605  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140606  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140607  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140608  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140609  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140610  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140611  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140612  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140613  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140614  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140615  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140616  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140617  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140618  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140619  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140620  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140621  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140622  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140623  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140624  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140625  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140626  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140627  , -1632.53    , array([ 1.42784    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140628  , -1632.52    , array([ 1.42641    ,  0.0677587  ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140629  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.21047e-18,  1.22525e-10,  0.0242466  ])
140630  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22647e-10,  0.0242466  ])
140631  , -1632.55    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242709  ])
140632  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
140633  , -1632.53    , array([ 1.42641    ,  0.067691   ,  9.20126e-18,  1.22525e-10,  0.0242466  ])
