302817  , -23145.9    , array([ 0.0994728  ,  0.134632   ,  1.15734e-49,  1.14272e-11,  0.0162268  ])
302818  , -23178.4    , array([ 0.0993733  ,  0.134766   ,  1.15734e-49,  1.14272e-11,  0.0162268  ])
302819  , -23163      , array([ 0.0993733  ,  0.134632   ,  1.1585e-49 ,  1.14272e-11,  0.0162268  ])
302820  , -23163      , array([ 0.0993733  ,  0.134632   ,  1.15734e-49,  1.14387e-11,  0.0162268  ])
302821  , -23162.4    , array([ 0.0993733  ,  0.134632   ,  1.15734e-49,  1.14272e-11,  0.0162431  ])
302822  , -22944.6    , array([ 0.123206   ,  0.170355   ,  1.15734e-49,  1.14272e-11,  0.0205146  ])
302823  , -22944.6    , array([ 0.123206   ,  0.170355   ,  1.15734e-49,  1.14272e-11,  0.0205146  ])
302824  , -22927.6    , array([ 0.123329   ,  0.170355   ,  1.15734e-49,  1.14272e-11,  0.0205146  ])
302825  , -22959.8    , array([ 0.123206   ,  0.170526   ,  1.15734e-49,  1.14272e-11,  0.0205146  ])
302826  , -22944.6    , array([ 0.123206   ,  0.170355   ,  1.1585e-49 ,  1.14272e-11,  0.0205146  ])
302827  , -22944.6    , array([ 0.123206   ,  0.170355   ,  1.15734e-49,  1.14387e-11,  0.0205146  ])
302828  , -22943.9    , array([ 0.123206   ,  0.170355   ,  1.15734e-49,  1.14272e-11,  0.0205352  ])
302829  , -21814.7    , array([ 0.29112    ,  0.436707   ,  1.15734e-49,  1.14272e-11,  0.0524063  ])
302830  , -21814.7    , array([ 0.29112    ,  0.436707   ,  1.15734e-49,  1.14272e-11,  0.0524063  ])
302831  , -21799      , array([ 0.291411   ,  0.436707   ,  1.15734e-49,  1.14272e-11,  0.0524063  ])
302832  , -21828.9    , array([ 0.29112    ,  0.437144   ,  1.15734e-49,  1.14272e-11,  0.0524063  ])
302833  , -21814.7    , array([ 0.29112    ,  0.436707   ,  1.1585e-49 ,  1.14272e-11,  0.0524063  ])
302834  , -21814.7    , array([ 0.29112    ,  0.436707   ,  1.15734e-49,  1.14387e-11,  0.0524063  ])
302835  , -21814.1    , array([ 0.29112    ,  0.436707   ,  1.15734e-49,  1.14272e-11,  0.0524587  ])
302836  , -79031.4    , array([ 9.07486    ,  18.8593    ,  1.15734e-49,  1.14272e-11,  2.23184    ])
302837  , -79031.4    , array([ 9.07486    ,  18.8593    ,  1.15734e-49,  1.14272e-11,  2.23184    ])
302838  , -79023.1    , array([ 9.08394    ,  18.8593    ,  1.15734e-49,  1.14272e-11,  2.23184    ])
302839  , -79045.5    , array([ 9.07486    ,  18.8781    ,  1.15734e-49,  1.14272e-11,  2.23184    ])
302840  , -79031.4    , array([ 9.07486    ,  18.8593    ,  1.1585e-49 ,  1.14272e-11,  2.23184    ])
302841  , -79031.4    , array([ 9.07486    ,  18.8593    ,  1.15734e-49,  1.14386e-11,  2.23184    ])
302842  , -79058.1    , array([ 9.07486    ,  18.8593    ,  1.15734e-49,  1.14272e-11,  2.23407    ])
302843  , -21738.3    , array([ 0.32022    ,  0.484716   ,  1.15734e-49,  1.14272e-11,  0.0581451  ])
302844  , -21738.3    , array([ 0.32022    ,  0.484716   ,  1.15734e-49,  1.14272e-11,  0.0581451  ])
302845  , -21722.8    , array([ 0.32054    ,  0.484716   ,  1.15734e-49,  1.14272e-11,  0.0581451  ])
302846  , -21752.4    , array([ 0.32022    ,  0.485201   ,  1.15734e-49,  1.14272e-11,  0.0581451  ])
302847  , -21738.3    , array([ 0.32022    ,  0.484716   ,  1.1585e-49 ,  1.14272e-11,  0.0581451  ])
302848  , -21738.3    , array([ 0.32022    ,  0.484716   ,  1.15734e-49,  1.14387e-11,  0.0581451  ])
302849  , -21737.8    , array([ 0.32022    ,  0.484716   ,  1.15734e-49,  1.14272e-11,  0.0582033  ])
302850  , -14545.9    , array([ 0.00307944 ,  0.00196661 ,  1.15734e-49,  1.14272e-11,  0.000344959])
302851  , -14545.9    , array([ 0.00307944 ,  0.00196661 ,  1.15734e-49,  1.14272e-11,  0.000344959])
302852  , -14534.4    , array([ 0.00308252 ,  0.00196661 ,  1.15734e-49,  1.14272e-11,  0.000344959])
302853  , -14559.9    , array([ 0.00307944 ,  0.00196857 ,  1.15734e-49,  1.14272e-11,  0.000344959])
302854  , -14545.9    , array([ 0.00307944 ,  0.00196661 ,  1.1585e-49 ,  1.14272e-11,  0.000344959])
302855  , -14545.9    , array([ 0.00307944 ,  0.00196661 ,  1.15734e-49,  1.14386e-11,  0.000344959])
302856  , -14543.5    , array([ 0.00307944 ,  0.00196661 ,  1.15734e-49,  1.14272e-11,  0.000345304])
302864  , -14542.9    , array([ 0.00307534 ,  0.00196351 ,  1.15734e-49,  1.14272e-11,  0.000344453])
302865  , -14542.9    , array([ 0.00307534 ,  0.00196351 ,  1.15734e-49,  1.14272e-11,  0.000344453])
302866  , -14531.4    , array([ 0.00307842 ,  0.00196351 ,  1.15734e-49,  1.14272e-11,  0.000344453])
302867  , -14556.8    , array([ 0.00307534 ,  0.00196547 ,  1.15734e-49,  1.14272e-11,  0.000344453])
302868  , -14542.9    , array([ 0.00307534 ,  0.00196351 ,  1.1585e-49 ,  1.14272e-11,  0.000344453])
302869  , -14542.9    , array([ 0.00307534 ,  0.00196351 ,  1.15734e-49,  1.14386e-11,  0.000344453])
302870  , -14540.5    , array([ 0.00307534 ,  0.00196351 ,  1.15734e-49,  1.14272e-11,  0.000344798])
302878  , -14541.6    , array([ 0.00307356 ,  0.00196216 ,  1.15734e-49,  1.14272e-11,  0.000344233])
302879  , -14541.6    , array([ 0.00307356 ,  0.00196216 ,  1.15734e-49,  1.14272e-11,  0.000344233])
302880  , -14530      , array([ 0.00307664 ,  0.00196216 ,  1.15734e-49,  1.14272e-11,  0.000344233])
302881  , -14555.5    , array([ 0.00307356 ,  0.00196412 ,  1.15734e-49,  1.14272e-11,  0.000344233])
302882  , -14541.6    , array([ 0.00307356 ,  0.00196216 ,  1.1585e-49 ,  1.14272e-11,  0.000344233])
302883  , -14541.6    , array([ 0.00307356 ,  0.00196216 ,  1.15734e-49,  1.14386e-11,  0.000344233])
302884  , -14539.2    , array([ 0.00307356 ,  0.00196216 ,  1.15734e-49,  1.14272e-11,  0.000344578])
302892  , -14541      , array([ 0.00307279 ,  0.00196157 ,  1.15734e-49,  1.14272e-11,  0.000344138])
302893  , -14541      , array([ 0.00307279 ,  0.00196157 ,  1.15734e-49,  1.14272e-11,  0.000344138])
302894  , -14529.5    , array([ 0.00307586 ,  0.00196157 ,  1.15734e-49,  1.14272e-11,  0.000344138])
302895  , -14554.9    , array([ 0.00307279 ,  0.00196354 ,  1.15734e-49,  1.14272e-11,  0.000344138])
302896  , -14541      , array([ 0.00307279 ,  0.00196157 ,  1.1585e-49 ,  1.14272e-11,  0.000344138])
302897  , -14541      , array([ 0.00307279 ,  0.00196157 ,  1.15734e-49,  1.14386e-11,  0.000344138])
302898  , -14538.6    , array([ 0.00307279 ,  0.00196157 ,  1.15734e-49,  1.14272e-11,  0.000344482])
302906  , -14540.8    , array([ 0.00307245 ,  0.00196132 ,  1.15734e-49,  1.14272e-11,  0.000344096])
302907  , -14540.8    , array([ 0.00307245 ,  0.00196132 ,  1.15734e-49,  1.14272e-11,  0.000344096])
302908  , -14529.2    , array([ 0.00307553 ,  0.00196132 ,  1.15734e-49,  1.14272e-11,  0.000344096])
302909  , -14554.7    , array([ 0.00307245 ,  0.00196328 ,  1.15734e-49,  1.14272e-11,  0.000344096])
302910  , -14540.8    , array([ 0.00307245 ,  0.00196132 ,  1.1585e-49 ,  1.14272e-11,  0.000344096])
302911  , -14540.8    , array([ 0.00307245 ,  0.00196132 ,  1.15734e-49,  1.14386e-11,  0.000344096])
302912  , -14538.3    , array([ 0.00307245 ,  0.00196132 ,  1.15734e-49,  1.14272e-11,  0.00034444 ])
302920  , -14540.6    , array([ 0.0030723  ,  0.00196121 ,  1.15734e-49,  1.14272e-11,  0.000344078])
302921  , -14540.6    , array([ 0.0030723  ,  0.00196121 ,  1.15734e-49,  1.14272e-11,  0.000344078])
302922  , -14529.1    , array([ 0.00307538 ,  0.00196121 ,  1.15734e-49,  1.14272e-11,  0.000344078])
302923  , -14554.6    , array([ 0.0030723  ,  0.00196317 ,  1.15734e-49,  1.14272e-11,  0.000344078])
302924  , -14540.6    , array([ 0.0030723  ,  0.00196121 ,  1.1585e-49 ,  1.14272e-11,  0.000344078])
302925  , -14540.6    , array([ 0.0030723  ,  0.00196121 ,  1.15734e-49,  1.14386e-11,  0.000344078])
302926  , -14538.2    , array([ 0.0030723  ,  0.00196121 ,  1.15734e-49,  1.14272e-11,  0.000344422])
302934  , -14540.6    , array([ 0.00307224 ,  0.00196116 ,  1.15734e-49,  1.14272e-11,  0.00034407 ])
302935  , -14540.6    , array([ 0.00307224 ,  0.00196116 ,  1.15734e-49,  1.14272e-11,  0.00034407 ])
302936  , -14529.1    , array([ 0.00307531 ,  0.00196116 ,  1.15734e-49,  1.14272e-11,  0.00034407 ])
302937  , -14554.5    , array([ 0.00307224 ,  0.00196312 ,  1.15734e-49,  1.14272e-11,  0.00034407 ])
302938  , -14540.6    , array([ 0.00307224 ,  0.00196116 ,  1.1585e-49 ,  1.14272e-11,  0.00034407 ])
302939  , -14540.6    , array([ 0.00307224 ,  0.00196116 ,  1.15734e-49,  1.14386e-11,  0.00034407 ])
302940  , -14538.2    , array([ 0.00307224 ,  0.00196116 ,  1.15734e-49,  1.14272e-11,  0.000344414])
302948  , -14540.6    , array([ 0.00307221 ,  0.00196114 ,  1.15734e-49,  1.14272e-11,  0.000344066])
302949  , -14540.6    , array([ 0.00307221 ,  0.00196114 ,  1.15734e-49,  1.14272e-11,  0.000344066])
302950  , -14529      , array([ 0.00307529 ,  0.00196114 ,  1.15734e-49,  1.14272e-11,  0.000344066])
302951  , -14554.5    , array([ 0.00307221 ,  0.0019631  ,  1.15734e-49,  1.14272e-11,  0.000344066])
302952  , -14540.6    , array([ 0.00307221 ,  0.00196114 ,  1.1585e-49 ,  1.14272e-11,  0.000344066])
302953  , -14540.6    , array([ 0.00307221 ,  0.00196114 ,  1.15734e-49,  1.14386e-11,  0.000344066])
302954  , -14538.2    , array([ 0.00307221 ,  0.00196114 ,  1.15734e-49,  1.14272e-11,  0.00034441 ])
302962  , -14540.6    , array([ 0.0030722  ,  0.00196113 ,  1.15734e-49,  1.14272e-11,  0.000344065])
302963  , -14540.6    , array([ 0.0030722  ,  0.00196113 ,  1.15734e-49,  1.14272e-11,  0.000344065])
302964  , -14529      , array([ 0.00307527 ,  0.00196113 ,  1.15734e-49,  1.14272e-11,  0.000344065])
302965  , -14554.5    , array([ 0.0030722  ,  0.00196309 ,  1.15734e-49,  1.14272e-11,  0.000344065])
302966  , -14540.6    , array([ 0.0030722  ,  0.00196113 ,  1.1585e-49 ,  1.14272e-11,  0.000344065])
302967  , -14540.6    , array([ 0.0030722  ,  0.00196113 ,  1.15734e-49,  1.14386e-11,  0.000344065])
302968  , -14538.1    , array([ 0.0030722  ,  0.00196113 ,  1.15734e-49,  1.14272e-11,  0.000344409])
302976  , -14540.6    , array([ 0.0030722  ,  0.00196112 ,  1.15734e-49,  1.14272e-11,  0.000344064])
