155506  , -46165.3    , array([ 0.247059   ,  5.37221    ,  0.304214   ,  0.0605011  ,  0.0342971  ])
155507  , -46163.2    , array([ 0.247059   ,  5.37221    ,  0.304214   ,  0.0604407  ,  0.0343314  ])
155508  , -45881.3    , array([ 0.20199    ,  3.12839    ,  0.336692   ,  0.0623883  ,  0.0274882  ])
155509  , -45881.3    , array([ 0.20199    ,  3.12839    ,  0.336692   ,  0.0623883  ,  0.0274882  ])
155510  , -45876.3    , array([ 0.202193   ,  3.12839    ,  0.336692   ,  0.0623883  ,  0.0274882  ])
155511  , -45884.9    , array([ 0.20199    ,  3.13152    ,  0.336692   ,  0.0623883  ,  0.0274882  ])
155512  , -45881.2    , array([ 0.20199    ,  3.12839    ,  0.337029   ,  0.0623883  ,  0.0274882  ])
155513  , -45881.3    , array([ 0.20199    ,  3.12839    ,  0.336692   ,  0.0624507  ,  0.0274882  ])
155514  , -45879      , array([ 0.20199    ,  3.12839    ,  0.336692   ,  0.0623883  ,  0.0275157  ])
155515  , -39418.9    , array([ 0.0902515  ,  0.359742   ,  0.505179   ,  0.0708269  ,  0.0113423  ])
155516  , -39418.9    , array([ 0.0902515  ,  0.359742   ,  0.505179   ,  0.0708269  ,  0.0113423  ])
155517  , -39410.8    , array([ 0.0903418  ,  0.359742   ,  0.505179   ,  0.0708269  ,  0.0113423  ])
155518  , -39429.6    , array([ 0.0902515  ,  0.360102   ,  0.505179   ,  0.0708269  ,  0.0113423  ])
155519  , -39418.8    , array([ 0.0902515  ,  0.359742   ,  0.505684   ,  0.0708269  ,  0.0113423  ])
155520  , -39418.9    , array([ 0.0902515  ,  0.359742   ,  0.505179   ,  0.0708977  ,  0.0113423  ])
155521  , -39414.1    , array([ 0.0902515  ,  0.359742   ,  0.505179   ,  0.0708269  ,  0.0113536  ])
155529  , -39414.8    , array([ 0.0902274  ,  0.359485   ,  0.505246   ,  0.0708298  ,  0.0113389  ])
155530  , -39414.8    , array([ 0.0902274  ,  0.359485   ,  0.505246   ,  0.0708298  ,  0.0113389  ])
155531  , -39406.7    , array([ 0.0903177  ,  0.359485   ,  0.505246   ,  0.0708298  ,  0.0113389  ])
155532  , -39425.5    , array([ 0.0902274  ,  0.359844   ,  0.505246   ,  0.0708298  ,  0.0113389  ])
155533  , -39414.7    , array([ 0.0902274  ,  0.359485   ,  0.505752   ,  0.0708298  ,  0.0113389  ])
155534  , -39414.8    , array([ 0.0902274  ,  0.359485   ,  0.505246   ,  0.0709007  ,  0.0113389  ])
155535  , -39410      , array([ 0.0902274  ,  0.359485   ,  0.505246   ,  0.0708298  ,  0.0113503  ])
