83063   , -1655.28    , array([ 1.20152    ,  0.0585165  ,  1.23158e-72,  0.000583708,  0.0212631  ])
83064   , -1655.75    , array([ 1.20152    ,  0.0585165  ,  1.23158e-72,  0.000583124,  0.0212844  ])
83065   , -1651.86    , array([ 1.34055    ,  0.0581761  ,  1.23158e-72,  0.000582924,  0.0211447  ])
83066   , -1651.86    , array([ 1.34055    ,  0.0581761  ,  1.23158e-72,  0.000582924,  0.0211447  ])
83067   , -1651.85    , array([ 1.34189    ,  0.0581761  ,  1.23158e-72,  0.000582924,  0.0211447  ])
83068   , -1651.31    , array([ 1.34055    ,  0.0582343  ,  1.23158e-72,  0.000582924,  0.0211447  ])
83069   , -1651.86    , array([ 1.34055    ,  0.0581761  ,  1.23281e-72,  0.000582924,  0.0211447  ])
83070   , -1651.86    , array([ 1.34055    ,  0.0581761  ,  1.23158e-72,  0.000583508,  0.0211447  ])
83071   , -1652.27    , array([ 1.34055    ,  0.0581761  ,  1.23158e-72,  0.000582924,  0.0211659  ])
83072   , -1651.29    , array([ 1.34174    ,  0.058307   ,  1.23158e-72,  0.000583289,  0.0211835  ])
83073   , -1651.29    , array([ 1.34174    ,  0.058307   ,  1.23158e-72,  0.000583289,  0.0211835  ])
83074   , -1651.28    , array([ 1.34308    ,  0.058307   ,  1.23158e-72,  0.000583289,  0.0211835  ])
83075   , -1650.75    , array([ 1.34174    ,  0.0583654  ,  1.23158e-72,  0.000583289,  0.0211835  ])
83076   , -1651.29    , array([ 1.34174    ,  0.058307   ,  1.23281e-72,  0.000583289,  0.0211835  ])
83077   , -1651.29    , array([ 1.34174    ,  0.058307   ,  1.23158e-72,  0.000583872,  0.0211835  ])
83078   , -1651.69    , array([ 1.34174    ,  0.058307   ,  1.23158e-72,  0.000583289,  0.0212047  ])
83079   , -1649.11    , array([ 1.34647    ,  0.0588338  ,  1.23158e-72,  0.000584747,  0.0213393  ])
83080   , -1649.11    , array([ 1.34647    ,  0.0588338  ,  1.23158e-72,  0.000584747,  0.0213393  ])
83081   , -1649.1     , array([ 1.34782    ,  0.0588338  ,  1.23158e-72,  0.000584747,  0.0213393  ])
83082   , -1648.62    , array([ 1.34647    ,  0.0588926  ,  1.23158e-72,  0.000584747,  0.0213393  ])
83083   , -1649.11    , array([ 1.34647    ,  0.0588338  ,  1.23281e-72,  0.000584747,  0.0213393  ])
83084   , -1649.11    , array([ 1.34647    ,  0.0588338  ,  1.23158e-72,  0.000585332,  0.0213393  ])
83085   , -1649.46    , array([ 1.34647    ,  0.0588338  ,  1.23158e-72,  0.000584747,  0.0213606  ])
83086   , -1641.91    , array([ 1.36559    ,  0.0609888  ,  1.23158e-72,  0.000590619,  0.0219739  ])
83087   , -1641.91    , array([ 1.36559    ,  0.0609888  ,  1.23158e-72,  0.000590619,  0.0219739  ])
83088   , -1641.9     , array([ 1.36696    ,  0.0609888  ,  1.23158e-72,  0.000590619,  0.0219739  ])
83089   , -1641.65    , array([ 1.36559    ,  0.0610498  ,  1.23158e-72,  0.000590619,  0.0219739  ])
83090   , -1641.91    , array([ 1.36559    ,  0.0609888  ,  1.23281e-72,  0.000590619,  0.0219739  ])
83091   , -1641.91    , array([ 1.36559    ,  0.0609888  ,  1.23158e-72,  0.00059121 ,  0.0219739  ])
83092   , -1642.07    , array([ 1.36559    ,  0.0609888  ,  1.23158e-72,  0.000590619,  0.0219959  ])
83093   , -1632.61    , array([ 1.4366     ,  0.0676562  ,  1.23158e-72,  0.000621701,  0.024177   ])
83094   , -1632.61    , array([ 1.4366     ,  0.0676562  ,  1.23158e-72,  0.000621701,  0.024177   ])
83095   , -1632.61    , array([ 1.43804    ,  0.0676562  ,  1.23158e-72,  0.000621701,  0.024177   ])
83096   , -1632.67    , array([ 1.4366     ,  0.0677239  ,  1.23158e-72,  0.000621701,  0.024177   ])
83097   , -1632.61    , array([ 1.4366     ,  0.0676562  ,  1.23281e-72,  0.000621701,  0.024177   ])
83098   , -1632.61    , array([ 1.4366     ,  0.0676562  ,  1.23158e-72,  0.000622323,  0.024177   ])
83099   , -1632.54    , array([ 1.4366     ,  0.0676562  ,  1.23158e-72,  0.000621701,  0.0242012  ])
83100   , -1632.54    , array([ 1.43497    ,  0.0676045  ,  1.23158e-72,  0.000636828,  0.0241988  ])
83101   , -1632.54    , array([ 1.43497    ,  0.0676045  ,  1.23158e-72,  0.000636828,  0.0241988  ])
83102   , -1632.54    , array([ 1.4364     ,  0.0676045  ,  1.23158e-72,  0.000636828,  0.0241988  ])
83103   , -1632.55    , array([ 1.43497    ,  0.0676721  ,  1.23158e-72,  0.000636828,  0.0241988  ])
83104   , -1632.54    , array([ 1.43497    ,  0.0676045  ,  1.23281e-72,  0.000636828,  0.0241988  ])
83105   , -1632.54    , array([ 1.43497    ,  0.0676045  ,  1.23158e-72,  0.000637465,  0.0241988  ])
83106   , -1632.53    , array([ 1.43497    ,  0.0676045  ,  1.23158e-72,  0.000636828,  0.024223   ])
83107   , -1632.51    , array([ 1.43672    ,  0.0676541  ,  1.23158e-72,  0.000658951,  0.0242286  ])
83108   , -1632.51    , array([ 1.43672    ,  0.0676541  ,  1.23158e-72,  0.000658951,  0.0242286  ])
83109   , -1632.51    , array([ 1.43816    ,  0.0676541  ,  1.23158e-72,  0.000658951,  0.0242286  ])
83110   , -1632.51    , array([ 1.43672    ,  0.0677218  ,  1.23158e-72,  0.000658951,  0.0242286  ])
83111   , -1632.51    , array([ 1.43672    ,  0.0676541  ,  1.23281e-72,  0.000658951,  0.0242286  ])
83112   , -1632.51    , array([ 1.43672    ,  0.0676541  ,  1.23158e-72,  0.00065961 ,  0.0242286  ])
83113   , -1632.51    , array([ 1.43672    ,  0.0676541  ,  1.23158e-72,  0.000658951,  0.0242528  ])
83114   , -1632.5     , array([ 1.43665    ,  0.067656   ,  1.23158e-72,  0.000680793,  0.0242303  ])
83115   , -1632.5     , array([ 1.43665    ,  0.067656   ,  1.23158e-72,  0.000680793,  0.0242303  ])
83116   , -1632.5     , array([ 1.43809    ,  0.067656   ,  1.23158e-72,  0.000680793,  0.0242303  ])
83117   , -1632.5     , array([ 1.43665    ,  0.0677237  ,  1.23158e-72,  0.000680793,  0.0242303  ])
83118   , -1632.5     , array([ 1.43665    ,  0.067656   ,  1.23281e-72,  0.000680793,  0.0242303  ])
83119   , -1632.5     , array([ 1.43665    ,  0.067656   ,  1.23158e-72,  0.000681474,  0.0242303  ])
83120   , -1632.51    , array([ 1.43665    ,  0.067656   ,  1.23158e-72,  0.000680793,  0.0242546  ])
83121   , -1632.49    , array([ 1.43635    ,  0.0676635  ,  1.23158e-72,  0.000775645,  0.0242372  ])
83122   , -1632.49    , array([ 1.43635    ,  0.0676635  ,  1.23158e-72,  0.000775645,  0.0242372  ])
83123   , -1632.49    , array([ 1.43779    ,  0.0676635  ,  1.23158e-72,  0.000775645,  0.0242372  ])
83124   , -1632.49    , array([ 1.43635    ,  0.0677312  ,  1.23158e-72,  0.000775645,  0.0242372  ])
83125   , -1632.49    , array([ 1.43635    ,  0.0676635  ,  1.23281e-72,  0.000775645,  0.0242372  ])
83126   , -1632.49    , array([ 1.43635    ,  0.0676635  ,  1.23158e-72,  0.000776421,  0.0242372  ])
83127   , -1632.5     , array([ 1.43635    ,  0.0676635  ,  1.23158e-72,  0.000775645,  0.0242615  ])
83128   , -1632.44    , array([ 1.4353     ,  0.0676984  ,  1.23158e-72,  0.00190442 ,  0.0242693  ])
83129   , -1632.44    , array([ 1.4353     ,  0.0676984  ,  1.23158e-72,  0.00190442 ,  0.0242693  ])
83130   , -1632.43    , array([ 1.43673    ,  0.0676984  ,  1.23158e-72,  0.00190442 ,  0.0242693  ])
83131   , -1632.41    , array([ 1.4353     ,  0.0677661  ,  1.23158e-72,  0.00190442 ,  0.0242693  ])
83132   , -1632.44    , array([ 1.4353     ,  0.0676984  ,  1.23281e-72,  0.00190442 ,  0.0242693  ])
83133   , -1632.44    , array([ 1.4353     ,  0.0676984  ,  1.23158e-72,  0.00190633 ,  0.0242693  ])
83134   , -1632.47    , array([ 1.4353     ,  0.0676984  ,  1.23158e-72,  0.00190442 ,  0.0242936  ])
83135   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692092  ,  0.0243981  ])
83136   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692092  ,  0.0243981  ])
83137   , -1629.6     , array([ 1.43251    ,  0.0678382  ,  1.23158e-72,  0.0692092  ,  0.0243981  ])
83138   , -1629.56    , array([ 1.43107    ,  0.067906   ,  1.23158e-72,  0.0692092  ,  0.0243981  ])
83139   , -1629.61    , array([ 1.43107    ,  0.0678382  ,  1.23281e-72,  0.0692092  ,  0.0243981  ])
83140   , -1629.6     , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692784  ,  0.0243981  ])
83141   , -1629.66    , array([ 1.43107    ,  0.0678382  ,  1.23158e-72,  0.0692092  ,  0.0244225  ])
