272208  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272209  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272210  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272218  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272219  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272220  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272221  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272222  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272223  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272224  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272232  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272233  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272234  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272235  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272236  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272237  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272238  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272246  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272247  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272248  , -4144.23    , array([ 0.00674929 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272249  , -4146.56    , array([ 0.00674255 ,  0.00100399 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272250  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.75754e-24,  1.16177e-13,  0.000354688])
272251  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16293e-13,  0.000354688])
272252  , -4151.59    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000355043])
272260  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
272261  , -4147.46    , array([ 0.00674255 ,  0.00100298 ,  9.74778e-24,  1.16177e-13,  0.000354688])
