16899   , -3035.07    , array([ 1.07955    ,  0.235651   ,  2.9132     ,  3.11387    ,  0.347524   ])
16901   , -15492.2    , array([ 1.07955    ,  0.617617   ,  2.9132     ,  3.11387    ,  0.347524   ])
16902   , -8861.96    , array([ 1.07955    ,  0.426533   ,  2.9132     ,  3.11387    ,  0.347524   ])
16904   , -4056.7     , array([ 1.07955    ,  0.145481   ,  2.9132     ,  3.11387    ,  0.347524   ])
16905   , -2937.82    , array([ 1.07955    ,  0.228605   ,  2.9132     ,  3.11387    ,  0.347524   ])
16906   , -2776.62    , array([ 1.07955    ,  0.209302   ,  2.9132     ,  3.11387    ,  0.347524   ])
16907   , -2859.47    , array([ 1.07955    ,  0.184925   ,  2.9132     ,  3.11387    ,  0.347524   ])
16908   , -2763.54    , array([ 1.07955    ,  0.203431   ,  2.9132     ,  3.11387    ,  0.347524   ])
16909   , -2763.25    , array([ 1.07955    ,  0.202702   ,  2.9132     ,  3.11387    ,  0.347524   ])
16910   , -2763.21    , array([ 1.07955    ,  0.202338   ,  2.9132     ,  3.11387    ,  0.347524   ])
16911   , -2763.25    , array([ 1.07955    ,  0.202005   ,  2.9132     ,  3.11387    ,  0.347524   ])
16912   , -2763.21    , array([ 1.07955    ,  0.202338   ,  2.9132     ,  3.11387    ,  0.347524   ])
16913   , -2728.13    , array([ 1.07955    ,  0.202338   ,  3.9132     ,  3.11387    ,  0.347524   ])
16914   , -3452.74    , array([ 1.07955    ,  0.202338   ,  5.53124    ,  3.11387    ,  0.347524   ])
16915   , -2728.13    , array([ 1.07955    ,  0.202338   ,  3.9132     ,  3.11387    ,  0.347524   ])
16916   , -2919.17    , array([ 1.07955    ,  0.202338   ,  4.53124    ,  3.11387    ,  0.347524   ])
16917   , -2682.53    , array([ 1.07955    ,  0.202338   ,  3.53124    ,  3.11387    ,  0.347524   ])
16918   , -2682.03    , array([ 1.07955    ,  0.202338   ,  3.40757    ,  3.11387    ,  0.347524   ])
16919   , -2681.32    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.11387    ,  0.347524   ])
16920   , -2681.33    , array([ 1.07955    ,  0.202338   ,  3.466      ,  3.11387    ,  0.347524   ])
16921   , -2681.33    , array([ 1.07955    ,  0.202338   ,  3.45506    ,  3.11387    ,  0.347524   ])
16922   , -2681.32    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.11387    ,  0.347524   ])
16923   , -2894.22    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  4.11387    ,  0.347524   ])
16924   , -5117.69    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  1.49583    ,  0.347524   ])
16925   , -2681.32    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.11387    ,  0.347524   ])
16926   , -3041.17    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  2.49583    ,  0.347524   ])
16927   , -2671.01    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.49583    ,  0.347524   ])
16928   , -2659.13    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.32916    ,  0.347524   ])
16929   , -2659.14    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33443    ,  0.347524   ])
16930   , -2659.14    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.32701    ,  0.347524   ])
16931   , -2659.13    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.347524   ])
16932   , -2659.13    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.347524   ])
16933   , -3155.42    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  1.34752    ])
16935   , -2659.13    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.347524   ])
16937   , -2976.24    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.72949    ])
16938   , -2860.77    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.538505   ])
16939   , -2832.07    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.111456   ])
16940   , -2613.46    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.316958   ])
16941   , -2523.82    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.263292   ])
16942   , -2432.23    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.205296   ])
16943   , -2420.93    , array([ 1.07955    ,  0.202338   ,  3.46053    ,  3.33131    ,  0.169452   ])
