12143   , -7259.34    , array([ 0.024089   ,  0.00657551 ,  0.000108109,  2.07971e-81,  0.00233163 ])
12144   , -7259.34    , array([ 0.024089   ,  0.00657551 ,  0.000108109,  2.07971e-81,  0.00233163 ])
12145   , -7250.92    , array([ 0.0241131  ,  0.00657551 ,  0.000108109,  2.07971e-81,  0.00233163 ])
12146   , -7259.3     , array([ 0.024089   ,  0.00658209 ,  0.000108109,  2.07971e-81,  0.00233163 ])
12147   , -7259.34    , array([ 0.024089   ,  0.00657551 ,  0.000108217,  2.07971e-81,  0.00233163 ])
12148   , -7259.34    , array([ 0.024089   ,  0.00657551 ,  0.000108109,  2.08179e-81,  0.00233163 ])
12149   , -7267.53    , array([ 0.024089   ,  0.00657551 ,  0.000108109,  2.07971e-81,  0.00233396 ])
12150   , -7254.6     , array([ 0.0245399  ,  0.00669661 ,  0.000108109,  2.07971e-81,  0.00237556 ])
12151   , -7254.6     , array([ 0.0245399  ,  0.00669661 ,  0.000108109,  2.07971e-81,  0.00237556 ])
12152   , -7246.19    , array([ 0.0245645  ,  0.00669661 ,  0.000108109,  2.07971e-81,  0.00237556 ])
12153   , -7254.55    , array([ 0.0245399  ,  0.00670331 ,  0.000108109,  2.07971e-81,  0.00237556 ])
12154   , -7254.6     , array([ 0.0245399  ,  0.00669661 ,  0.000108217,  2.07971e-81,  0.00237556 ])
12155   , -7254.6     , array([ 0.0245399  ,  0.00669661 ,  0.000108109,  2.08179e-81,  0.00237556 ])
12156   , -7262.8     , array([ 0.0245399  ,  0.00669661 ,  0.000108109,  2.07971e-81,  0.00237794 ])
12157   , -7234.71    , array([ 0.0264296  ,  0.00720375 ,  0.000108109,  2.07971e-81,  0.00255975 ])
12158   , -7234.71    , array([ 0.0264296  ,  0.00720375 ,  0.000108109,  2.07971e-81,  0.00255975 ])
12159   , -7226.3     , array([ 0.026456   ,  0.00720375 ,  0.000108109,  2.07971e-81,  0.00255975 ])
12160   , -7234.62    , array([ 0.0264296  ,  0.00721096 ,  0.000108109,  2.07971e-81,  0.00255975 ])
12161   , -7234.71    , array([ 0.0264296  ,  0.00720375 ,  0.000108217,  2.07971e-81,  0.00255975 ])
12162   , -7234.71    , array([ 0.0264296  ,  0.00720375 ,  0.000108109,  2.08179e-81,  0.00255975 ])
12163   , -7242.91    , array([ 0.0264296  ,  0.00720375 ,  0.000108109,  2.07971e-81,  0.00256231 ])
12164   , -7137.99    , array([ 0.0355596  ,  0.00964658 ,  0.000108109,  2.07971e-81,  0.00345081 ])
12165   , -7137.99    , array([ 0.0355596  ,  0.00964658 ,  0.000108109,  2.07971e-81,  0.00345081 ])
12166   , -7129.62    , array([ 0.0355952  ,  0.00964658 ,  0.000108109,  2.07971e-81,  0.00345081 ])
12167   , -7137.75    , array([ 0.0355596  ,  0.00965624 ,  0.000108109,  2.07971e-81,  0.00345081 ])
12168   , -7137.99    , array([ 0.0355596  ,  0.00964658 ,  0.000108217,  2.07971e-81,  0.00345081 ])
12169   , -7137.99    , array([ 0.0355596  ,  0.00964658 ,  0.000108109,  2.08179e-81,  0.00345081 ])
12170   , -7146.2     , array([ 0.0355596  ,  0.00964658 ,  0.000108109,  2.07971e-81,  0.00345426 ])
12171   , -6363.66    , array([ 0.116526   ,  0.0310193  ,  0.000108108,  2.07971e-81,  0.0113976  ])
12172   , -6363.66    , array([ 0.116526   ,  0.0310193  ,  0.000108108,  2.07971e-81,  0.0113976  ])
12173   , -6355.67    , array([ 0.116643   ,  0.0310193  ,  0.000108108,  2.07971e-81,  0.0113976  ])
12174   , -6362.89    , array([ 0.116526   ,  0.0310504  ,  0.000108108,  2.07971e-81,  0.0113976  ])
12175   , -6363.66    , array([ 0.116526   ,  0.0310193  ,  0.000108216,  2.07971e-81,  0.0113976  ])
12176   , -6363.66    , array([ 0.116526   ,  0.0310193  ,  0.000108108,  2.08179e-81,  0.0113976  ])
12177   , -6371.43    , array([ 0.116526   ,  0.0310193  ,  0.000108108,  2.07971e-81,  0.011409   ])
12178   , -50772.8    , array([ 13.4365    ,  3.31642    ,  0.000108105,  2.07971e-81,  1.35639    ])
12179   , -50772.8    , array([ 13.4365    ,  3.31642    ,  0.000108105,  2.07971e-81,  1.35639    ])
12180   , -50777.6    , array([ 13.45      ,  3.31642    ,  0.000108105,  2.07971e-81,  1.35639    ])
12181   , -50772.9    , array([ 13.4365    ,  3.31973    ,  0.000108105,  2.07971e-81,  1.35639    ])
12182   , -50772.7    , array([ 13.4365    ,  3.31642    ,  0.000108214,  2.07971e-81,  1.35639    ])
12183   , -50772.8    , array([ 13.4365    ,  3.31642    ,  0.000108105,  2.08179e-81,  1.35639    ])
12184   , -50799.1    , array([ 13.4365    ,  3.31642    ,  0.000108105,  2.07971e-81,  1.35775    ])
12185   , -5694.02    , array([ 0.214571   ,  0.0565665  ,  0.000108108,  2.07971e-81,  0.0210729  ])
12186   , -5694.02    , array([ 0.214571   ,  0.0565665  ,  0.000108108,  2.07971e-81,  0.0210729  ])
12187   , -5686.49    , array([ 0.214786   ,  0.0565665  ,  0.000108108,  2.07971e-81,  0.0210729  ])
12188   , -5693.05    , array([ 0.214571   ,  0.0566231  ,  0.000108108,  2.07971e-81,  0.0210729  ])
12189   , -5694.02    , array([ 0.214571   ,  0.0565665  ,  0.000108216,  2.07971e-81,  0.0210729  ])
12190   , -5694.02    , array([ 0.214571   ,  0.0565665  ,  0.000108108,  2.08179e-81,  0.0210729  ])
12191   , -5701.31    , array([ 0.214571   ,  0.0565665  ,  0.000108108,  2.07971e-81,  0.021094   ])
12192   , -5168.5     , array([ 0.345548   ,  0.090407   ,  0.000108107,  2.07971e-81,  0.0340437  ])
12193   , -5168.5     , array([ 0.345548   ,  0.090407   ,  0.000108107,  2.07971e-81,  0.0340437  ])
12194   , -5161.55    , array([ 0.345894   ,  0.090407   ,  0.000108107,  2.07971e-81,  0.0340437  ])
12195   , -5167.43    , array([ 0.345548   ,  0.0904974  ,  0.000108107,  2.07971e-81,  0.0340437  ])
12196   , -5168.5     , array([ 0.345548   ,  0.090407   ,  0.000108216,  2.07971e-81,  0.0340437  ])
12197   , -5168.5     , array([ 0.345548   ,  0.090407   ,  0.000108107,  2.08179e-81,  0.0340437  ])
12198   , -5175.56    , array([ 0.345548   ,  0.090407   ,  0.000108107,  2.07971e-81,  0.0340778  ])
12199   , -10818.2    , array([ 2.15475    ,  0.547565   ,  0.000108106,  2.07971e-81,  0.214887   ])
12200   , -10818.2    , array([ 2.15475    ,  0.547565   ,  0.000108106,  2.07971e-81,  0.214887   ])
12201   , -10816      , array([ 2.15691    ,  0.547565   ,  0.000108106,  2.07971e-81,  0.214887   ])
12202   , -10817.6    , array([ 2.15475    ,  0.548113   ,  0.000108106,  2.07971e-81,  0.214887   ])
12203   , -10818.2    , array([ 2.15475    ,  0.547565   ,  0.000108215,  2.07971e-81,  0.214887   ])
12204   , -10818.2    , array([ 2.15475    ,  0.547565   ,  0.000108106,  2.08179e-81,  0.214887   ])
12205   , -10831.6    , array([ 2.15475    ,  0.547565   ,  0.000108106,  2.07971e-81,  0.215102   ])
12206   , -4943.84    , array([ 0.484122   ,  0.125984   ,  0.000108107,  2.07971e-81,  0.0478033  ])
12207   , -4943.84    , array([ 0.484122   ,  0.125984   ,  0.000108107,  2.07971e-81,  0.0478033  ])
12208   , -4937.44    , array([ 0.484607   ,  0.125984   ,  0.000108107,  2.07971e-81,  0.0478033  ])
12209   , -4942.73    , array([ 0.484122   ,  0.126111   ,  0.000108107,  2.07971e-81,  0.0478033  ])
12210   , -4943.84    , array([ 0.484122   ,  0.125984   ,  0.000108215,  2.07971e-81,  0.0478033  ])
12211   , -4943.84    , array([ 0.484122   ,  0.125984   ,  0.000108107,  2.08179e-81,  0.0478033  ])
12212   , -4950.98    , array([ 0.484122   ,  0.125984   ,  0.000108107,  2.07971e-81,  0.0478511  ])
12213   , -4927.22    , array([ 0.5249     ,  0.13642    ,  0.000108107,  2.07971e-81,  0.0518576  ])
12214   , -4927.22    , array([ 0.5249     ,  0.13642    ,  0.000108107,  2.07971e-81,  0.0518576  ])
12215   , -4920.99    , array([ 0.525425   ,  0.13642    ,  0.000108107,  2.07971e-81,  0.0518576  ])
12216   , -4926.12    , array([ 0.5249     ,  0.136557   ,  0.000108107,  2.07971e-81,  0.0518576  ])
12217   , -4927.22    , array([ 0.5249     ,  0.13642    ,  0.000108215,  2.07971e-81,  0.0518576  ])
12218   , -4927.22    , array([ 0.5249     ,  0.13642    ,  0.000108107,  2.08179e-81,  0.0518576  ])
12219   , -4934.44    , array([ 0.5249     ,  0.13642    ,  0.000108107,  2.07971e-81,  0.0519095  ])
12220   , -4267.9     , array([ 0.421656   ,  0.102386   ,  0.000124036,  2.07971e-81,  0.0364364  ])
12221   , -4267.9     , array([ 0.421656   ,  0.102386   ,  0.000124036,  2.07971e-81,  0.0364364  ])
12222   , -4262.32    , array([ 0.422078   ,  0.102386   ,  0.000124036,  2.07971e-81,  0.0364364  ])
12223   , -4268.19    , array([ 0.421656   ,  0.102488   ,  0.000124036,  2.07971e-81,  0.0364364  ])
12224   , -4267.9     , array([ 0.421656   ,  0.102386   ,  0.00012416 ,  2.07971e-81,  0.0364364  ])
12225   , -4267.9     , array([ 0.421656   ,  0.102386   ,  0.000124036,  2.08179e-81,  0.0364364  ])
12226   , -4272.53    , array([ 0.421656   ,  0.102386   ,  0.000124036,  2.07971e-81,  0.0364729  ])
12227   , -3552.92    , array([ 0.794524   ,  0.1738     ,  0.000157768,  2.07971e-81,  0.0566669  ])
12228   , -3552.92    , array([ 0.794524   ,  0.1738     ,  0.000157768,  2.07971e-81,  0.0566669  ])
12229   , -3549.65    , array([ 0.795319   ,  0.1738     ,  0.000157768,  2.07971e-81,  0.0566669  ])
12230   , -3555.63    , array([ 0.794524   ,  0.173974   ,  0.000157768,  2.07971e-81,  0.0566669  ])
12231   , -3552.92    , array([ 0.794524   ,  0.1738     ,  0.000157926,  2.07971e-81,  0.0566669  ])
12232   , -3552.92    , array([ 0.794524   ,  0.1738     ,  0.000157768,  2.08179e-81,  0.0566669  ])
12233   , -3554.39    , array([ 0.794524   ,  0.1738     ,  0.000157768,  2.07971e-81,  0.0567236  ])
12234   , -2577.8     , array([ 0.665482   ,  0.107664   ,  0.000231544,  2.07971e-81,  0.0346398  ])
12235   , -2577.8     , array([ 0.665482   ,  0.107664   ,  0.000231544,  2.07971e-81,  0.0346398  ])
12236   , -2575.68    , array([ 0.666148   ,  0.107664   ,  0.000231544,  2.07971e-81,  0.0346398  ])
12237   , -2580.62    , array([ 0.665482   ,  0.107772   ,  0.000231544,  2.07971e-81,  0.0346398  ])
12238   , -2577.8     , array([ 0.665482   ,  0.107664   ,  0.000231776,  2.07971e-81,  0.0346398  ])
12239   , -2577.8     , array([ 0.665482   ,  0.107664   ,  0.000231544,  2.08179e-81,  0.0346398  ])
12240   , -2577.07    , array([ 0.665482   ,  0.107664   ,  0.000231544,  2.07971e-81,  0.0346745  ])
12241   , -1940.5     , array([ 0.755275   ,  0.0804481  ,  0.000383624,  2.07971e-81,  0.0276241  ])
12242   , -1940.5     , array([ 0.755275   ,  0.0804481  ,  0.000383624,  2.07971e-81,  0.0276241  ])
12243   , -1939.47    , array([ 0.75603    ,  0.0804481  ,  0.000383624,  2.07971e-81,  0.0276241  ])
12244   , -1941.55    , array([ 0.755275   ,  0.0805286  ,  0.000383624,  2.07971e-81,  0.0276241  ])
12245   , -1940.5     , array([ 0.755275   ,  0.0804481  ,  0.000384008,  2.07971e-81,  0.0276241  ])
12246   , -1940.5     , array([ 0.755275   ,  0.0804481  ,  0.000383624,  2.08179e-81,  0.0276241  ])
12247   , -1940.34    , array([ 0.755275   ,  0.0804481  ,  0.000383624,  2.07971e-81,  0.0276517  ])
12248   , -1727.99    , array([ 0.904958   ,  0.0692881  ,  0.000613945,  2.07971e-81,  0.0247693  ])
12249   , -1727.99    , array([ 0.904958   ,  0.0692881  ,  0.000613945,  2.07971e-81,  0.0247693  ])
12250   , -1727.5     , array([ 0.905864   ,  0.0692881  ,  0.000613945,  2.07971e-81,  0.0247693  ])
12251   , -1727.89    , array([ 0.904958   ,  0.0693574  ,  0.000613945,  2.07971e-81,  0.0247693  ])
12252   , -1727.99    , array([ 0.904958   ,  0.0692881  ,  0.00061456 ,  2.07971e-81,  0.0247693  ])
12253   , -1727.99    , array([ 0.904958   ,  0.0692881  ,  0.000613945,  2.08179e-81,  0.0247693  ])
12254   , -1728.41    , array([ 0.904958   ,  0.0692881  ,  0.000613945,  2.07971e-81,  0.0247941  ])
12255   , -1660.28    , array([ 1.08552    ,  0.0670284  ,  0.000915142,  2.07971e-81,  0.0240431  ])
12256   , -1660.28    , array([ 1.08552    ,  0.0670284  ,  0.000915142,  2.07971e-81,  0.0240431  ])
12257   , -1660.06    , array([ 1.0866     ,  0.0670284  ,  0.000915142,  2.07971e-81,  0.0240431  ])
12258   , -1660.13    , array([ 1.08552    ,  0.0670955  ,  0.000915142,  2.07971e-81,  0.0240431  ])
12259   , -1660.28    , array([ 1.08552    ,  0.0670284  ,  0.000916057,  2.07971e-81,  0.0240431  ])
12260   , -1660.28    , array([ 1.08552    ,  0.0670284  ,  0.000915142,  2.08179e-81,  0.0240431  ])
12261   , -1660.54    , array([ 1.08552    ,  0.0670284  ,  0.000915142,  2.07971e-81,  0.0240671  ])
12262   , -1636.87    , array([ 1.27495    ,  0.0672588  ,  0.0013366  ,  2.07971e-81,  0.0240597  ])
12263   , -1636.87    , array([ 1.27495    ,  0.0672588  ,  0.0013366  ,  2.07971e-81,  0.0240597  ])
12264   , -1636.8     , array([ 1.27623    ,  0.0672588  ,  0.0013366  ,  2.07971e-81,  0.0240597  ])
12265   , -1636.86    , array([ 1.27495    ,  0.0673261  ,  0.0013366  ,  2.07971e-81,  0.0240597  ])
12266   , -1636.87    , array([ 1.27495    ,  0.0672588  ,  0.00133793 ,  2.07971e-81,  0.0240597  ])
12267   , -1636.87    , array([ 1.27495    ,  0.0672588  ,  0.0013366  ,  2.08179e-81,  0.0240597  ])
12268   , -1636.91    , array([ 1.27495    ,  0.0672588  ,  0.0013366  ,  2.07971e-81,  0.0240838  ])
12269   , -1632.77    , array([ 1.39082    ,  0.0676162  ,  0.00177248 ,  2.07971e-81,  0.024195   ])
12270   , -1632.77    , array([ 1.39082    ,  0.0676162  ,  0.00177248 ,  2.07971e-81,  0.024195   ])
12271   , -1632.75    , array([ 1.39221    ,  0.0676162  ,  0.00177248 ,  2.07971e-81,  0.024195   ])
12272   , -1632.78    , array([ 1.39082    ,  0.0676838  ,  0.00177248 ,  2.07971e-81,  0.024195   ])
12273   , -1632.77    , array([ 1.39082    ,  0.0676162  ,  0.00177425 ,  2.07971e-81,  0.024195   ])
12274   , -1632.77    , array([ 1.39082    ,  0.0676162  ,  0.00177248 ,  2.08179e-81,  0.024195   ])
12275   , -1632.76    , array([ 1.39082    ,  0.0676162  ,  0.00177248 ,  2.07971e-81,  0.0242192  ])
12276   , -1632.41    , array([ 1.4316     ,  0.0676973  ,  0.00215862 ,  2.07971e-81,  0.0242408  ])
12277   , -1632.41    , array([ 1.4316     ,  0.0676973  ,  0.00215862 ,  2.07971e-81,  0.0242408  ])
12278   , -1632.4     , array([ 1.43303    ,  0.0676973  ,  0.00215862 ,  2.07971e-81,  0.0242408  ])
12279   , -1632.41    , array([ 1.4316     ,  0.067765   ,  0.00215862 ,  2.07971e-81,  0.0242408  ])
12280   , -1632.41    , array([ 1.4316     ,  0.0676973  ,  0.00216078 ,  2.07971e-81,  0.0242408  ])
12281   , -1632.41    , array([ 1.4316     ,  0.0676973  ,  0.00215862 ,  2.08179e-81,  0.0242408  ])
12282   , -1632.4     , array([ 1.4316     ,  0.0676973  ,  0.00215862 ,  2.07971e-81,  0.0242651  ])
12283   , -1632.38    , array([ 1.43855    ,  0.0676881  ,  0.00252173 ,  2.07971e-81,  0.0242416  ])
12284   , -1632.38    , array([ 1.43855    ,  0.0676881  ,  0.00252173 ,  2.07971e-81,  0.0242416  ])
12285   , -1632.38    , array([ 1.43999    ,  0.0676881  ,  0.00252173 ,  2.07971e-81,  0.0242416  ])
12286   , -1632.38    , array([ 1.43855    ,  0.0677559  ,  0.00252173 ,  2.07971e-81,  0.0242416  ])
12287   , -1632.38    , array([ 1.43855    ,  0.0676881  ,  0.00252426 ,  2.07971e-81,  0.0242416  ])
12288   , -1632.38    , array([ 1.43855    ,  0.0676881  ,  0.00252173 ,  2.08179e-81,  0.0242416  ])
12289   , -1632.38    , array([ 1.43855    ,  0.0676881  ,  0.00252173 ,  2.07971e-81,  0.0242658  ])
12290   , -1632.34    , array([ 1.44674    ,  0.0676641  ,  0.003635   ,  2.07971e-81,  0.0242377  ])
12291   , -1632.34    , array([ 1.44674    ,  0.0676641  ,  0.003635   ,  2.07971e-81,  0.0242377  ])
12292   , -1632.35    , array([ 1.44819    ,  0.0676641  ,  0.003635   ,  2.07971e-81,  0.0242377  ])
12293   , -1632.34    , array([ 1.44674    ,  0.0677318  ,  0.003635   ,  2.07971e-81,  0.0242377  ])
12294   , -1632.34    , array([ 1.44674    ,  0.0676641  ,  0.00363864 ,  2.07971e-81,  0.0242377  ])
12295   , -1632.34    , array([ 1.44674    ,  0.0676641  ,  0.003635   ,  2.08179e-81,  0.0242377  ])
